classname           z_sdss  z_shen 
 GB6J114644+535654  2.20931 0.00000 
 GB6J114657+395840  1.09120 1.08820 
 GB6J114704+450703  1.98661 1.97980 
 GB6J114722+350109  0.06289 0.00000 
 GB6J114733+042951  1.21300 1.21050 
 GB6J114739+490606  1.12131 0.00000 
 GB6J114750+492813  0.72979 0.00000 
 GB6J114758+263545  0.86596 0.86540 
 GB6J114804+565351  0.45146 0.45110 
 GB6J114814+525854  3.17396 0.00000 
 GB6J114818+315431  0.54984 0.55000 
 GB6J114838+184012  1.25602 0.00000 
 GB6J114845+554054  0.46445 0.00000 
 GB6J114856+525432  1.63218 1.63190 
 GB6J114900+295910  0.15328 0.00000 
 GB6J114914+071620  0.88674 0.00000 
 GB6J114917+152658  2.28116 0.00000 
 GB6J114924+431659  1.52982 1.53320 
 GB6J114935+355907  0.66408 0.00000 
 GB6J114939+425031  1.17234 1.17250 
 GB6J114954+271127  1.74213 1.74380 
 GB6J114959+552832  0.13850 0.00000 
 GB6J115003+253921  0.15608 0.00000 
 GB6J115015+525322  0.93884 0.00000 
 GB6J115017+433221  3.02586 0.00000 
 GB6J115018+241742  3.53893 0.00000 
 GB6J115037+653916  2.22421 2.21580 
 GB6J115046+205532  2.28742 0.00000 
 GB6J115100+323456  0.71025 0.00000 
 GB6J115103+592344  1.79462 1.79280 
 GB6J115122+035103  2.38467 0.00000 
 GB6J115126+585913  2.06487 0.00000 
 GB6J115133+050609  0.07599 0.00000 
 GB6J115142+335620  0.84806 0.85100 
 GB6J115147+412223  0.98646 0.00000 
 GB6J115201+240053  2.39490 2.39280 
 GB6J115218+063953  0.48112 0.00000 
 GB6J115225+073340  0.87666 0.87510 
 GB6J115225+321008  0.37432 0.37460 
 GB6J115233+493951  1.09295 1.09310 
 GB6J115253+330722  1.39423 1.39420 
 GB6J115258+293015  1.23476 1.23420 
 GB6J115312+203923  0.02296 0.00000 
 GB6J115319+172706  1.66618 1.67000 
 GB6J115321+583128  0.20237 0.00000 
 GB6J115326+361734  1.35863 1.35780 
 GB6J115348+095607  0.89354 0.00000 
 GB6J115401+593501  0.87551 0.00000 
 GB6J115404+602229  1.12180 0.00000 
 GB6J115406+075232  0.43125 0.00000 
 GB6J115409+023750  0.21065 0.00000 
 GB6J115409+122522  0.08108 0.00000 
 GB6J115455+050124  0.48176 0.00000 
 GB6J115519+193926  1.01859 1.01880 
 GB6J115537+231419  0.10028 0.00000 
 GB6J115541+021402  0.87288 0.87290 
 GB6J115555+074220  1.37864 0.00000 
 GB6J115649+260620  2.32227 0.00000 
 GB6J115650+435534  2.02172 1.99600 
 GB6J115653+263219  0.15625 0.00000 
 GB6J115735+163905  1.06081 1.06090 
 GB6J115740+470024  2.07550 2.07790 
 GB6J115743+330808  0.08033 0.00000 
 GB6J115820+262127  0.11202 0.00000 
 GB6J115825+245023  0.20256 0.00000 
 GB6J115829+204415  0.63704 0.00000 
 GB6J115853+093728  5.26600 0.00000 
 GB6J115859+582034  0.05370 0.00000 
 GB6J115911+030156  1.00885 1.01000 
 GB6J115932+291453  0.72475 0.72460 
 GB6J115944+034725  0.58443 0.00000 
 GB6J115955+302744  0.10644 0.00000 
 GB6J120001+232238  0.26380 0.00000 
 GB6J120012+641902  1.39883 0.00000 
 GB6J120039+123039  5.66432 0.00000 
 GB6J120109+025139  2.98257 0.00000 
 GB6J120112+550538  1.19967 1.19560 
 GB6J120129+090026  1.01559 1.01600 
 GB6J120131+341608  0.28707 0.00000 
 GB6J120140+111453  2.29642 0.00000 
 GB6J120145+143139  1.47088 0.00000 
 GB6J120209+444452  0.29711 0.00000 
 GB6J120222+083933  2.17626 2.17810 
 GB6J120230+140715  0.91786 0.00000 
 GB6J120233+275623  0.67213 0.67230 
 GB6J120241+263143  0.47593 0.47580 
 GB6J120255+261518  0.19357 0.00000 
 GB6J120304+235335  0.17642 0.00000 
 GB6J120304+603130  0.06530 0.00000 
 GB6J120321+041423  1.22429 1.21090 
 GB6J120328+480316  0.81698 0.81690 
 GB6J120332+304914  0.95593 0.00000 
 GB6J120333+543030  0.47755 0.00000 
 GB6J120334+451050  1.07346 1.07600 
 GB6J120339+275653  0.14089 0.00000 
 GB6J120345+055534  2.98033 0.00000 
 GB6J120358+350002  0.55554 0.00000 
 GB6J120402+375842  1.28293 1.28470 
 GB6J120406+233613  1.27883 1.27640 
 GB6J120436+522844  2.73232 2.73330 
 GB6J120437+191005  1.65584 1.65730 
 GB6J120449+040810  1.94772 0.00000 
 GB6J120501+430024  2.95644 2.94170 
 GB6J120517+052745  1.29771 1.29560 
 GB6J120539+620444  2.10493 2.10260 
 GB6J120547+005326  0.93161 0.93210 
 GB6J120552+203105  0.02379 0.00000 
 GB6J120636+394051  1.51722 1.51800 
 GB6J120649+464330  0.84182 0.00000 
 GB6J120657+052947  3.11452 0.00000 
 GB6J120712+121127  0.89182 0.89000 
 GB6J120726+275502  2.18093 2.18440 
 GB6J120805+251358  0.02253 0.00000 
 GB6J120823+305905  0.16643 0.00000 
 GB6J120836+612120  0.27484 0.00000 
 GB6J120837+115941  0.36918 0.00000 
 GB6J120848+201950  2.62397 2.63530 
 GB6J120850+552103  1.14347 0.00000 
 GB6J120852+220042  1.65386 1.65020 
 GB6J120854+544150  1.34459 1.34410 
 GB6J120856+464112  0.10096 0.00000 
 GB6J120922+411938  1.36433 0.00000 
 GB6J120932+403031  1.24585 0.00000 
 GB6J120942+661924  0.76502 0.00000 
 GB6J120943+254718  1.43582 1.43830 
 GB6J120951+181019  0.84483 0.85040 
 GB6J121005+524607  3.17461 0.00000 
 GB6J121008+355224  0.02249 0.00000 
 GB6J121035+531701  1.79357 1.79130 
 GB6J121107+182033  1.50151 1.51500 
 GB6J121129+180800  0.17962 0.00000 
 GB6J121132+284734  0.39649 0.00000 
 GB6J121143+012544  0.18549 0.00000 
 GB6J121254+245337  2.38684 2.37310 
 GB6J121256+192534  1.24189 1.24110 
 GB6J121331+504446  0.03076 0.00000 
 GB6J121332+130727  1.14047 1.13870 
 GB6J121346+000155  0.96133 0.96160 
 GB6J121405+061516  0.17006 0.00000 
 GB6J121422+513350  3.29446 3.31010 
 GB6J121500+082935  2.36599 0.00000 
 GB6J121502+112621  2.24902 0.00000 
 GB6J121504+534946  0.33799 0.00000 
 GB6J121509+350804  0.88153 0.00000 
 GB6J121510+462710  0.72007 0.72010 
 GB6J121512+073220  0.13645 0.00000 
 GB6J121540+090543  2.71947 2.72280 
 GB6J121544+452912  1.13289 1.13390 
 GB6J121547+642225  3.23263 3.22600 
 GB6J121549+315136  2.25998 2.26000 
 GB6J121558+354313  0.13335 0.00000 
 GB6J121621+155419  0.09303 0.00000 
 GB6J121631+171013  2.22623 0.00000 
 GB6J121710+583523  2.55281 2.55230 
 GB6J121721+451941  1.65563 0.00000 
 GB6J121729+060747  2.09201 2.09420 
 GB6J121736+515502  2.22498 2.22570 
 GB6J121748+490154  0.82861 0.00000 
 GB6J121749+311313  0.54882 0.00000 
 GB6J121759+583023  0.43354 0.00000 
 GB6J121821+185232  2.45295 0.00000 
 GB6J121824+110510  1.40211 1.40020 
 GB6J121827+010230  0.11725 0.00000 
 GB6J121827+061622  2.07328 2.07450 
 GB6J121840+244943  2.85088 0.00000 
 GB6J121935+660034  1.26609 1.26640 
 GB6J121944+584146  1.49040 1.49140 
 GB6J121952+162608  2.31096 0.00000 
 GB6J121955+403436  1.94573 1.92650 
 GB6J122008+343135  2.65664 0.00000 
 GB6J122122+170127  0.10777 0.00000 
 GB6J122122+301038  0.18360 0.00000 
 GB6J122126+441140  1.34653 1.34440 
 GB6J122131+281357  1.25813 0.00000 
 GB6J122152+110632  2.10988 0.00000 
 GB6J122158+374215  3.17639 3.18820 
 GB6J122201+260415  3.50781 0.00000 
 GB6J122206+134456  0.08042 0.00000 
 GB6J122208+581427  0.09995 0.00000 
 GB6J122221+041316  0.96618 0.96560 
 GB6J122242+293439  0.78611 0.00000 
 GB6J122304+461855  1.59589 0.00000 
 GB6J122340+461124  1.01218 1.01280 
 GB6J122349+120243  0.78032 0.00000 
 GB6J122400+223930  0.48207 0.00000 
 GB6J122405+500130  1.06163 1.06470 
 GB6J122426+401526  0.41696 0.41690 
 GB6J122441+455513  1.20515 0.00000 
 GB6J122442+194732  2.99092 0.00000 
 GB6J122452+033043  0.95626 0.95590 
 GB6J122452+433526  0.94791 0.00000 
 GB6J122455+212245  0.43383 0.43350 
 GB6J122511+192728  0.85771 0.00000 
 GB6J122513+321406  0.05923 0.00000 
 GB6J122551+391419  0.62329 0.00000 
 GB6J122600+512712  2.44348 0.00000 
 GB6J122621+640637  0.11024 0.00000 
 GB6J122641+484729  6.91886 0.00000 
 GB6J122657+434101  2.00854 1.99730 
 GB6J122710+195745  1.96811 1.96580 
 GB6J122729+135627  3.34765 3.34950 
 GB6J122756+493309  4.37565 0.00000 
 GB6J122825+312841  2.20130 0.00000 
 GB6J122847+370610  1.51678 1.51670 
 GB6J122851+485813  1.71851 1.72210 
 GB6J122904+633500  0.38504 0.00000 
 GB6J122910+552242  1.40589 1.40590 
 GB6J122933+271158  0.49500 0.00000 
 GB6J122934+160159  0.41481 0.00000 
 GB6J123003+603615  2.47448 0.00000 
 GB6J123012+470031  0.03910 0.00000 
 GB6J123121+072527  2.38714 2.38990 
 GB6J123127+041815  1.02976 1.02990 
 GB6J123132+440000  0.32634 0.00000 
 GB6J123132+641421  0.16293 0.00000 
 GB6J123144+284803  1.95699 0.00000 
 GB6J123206+375858  2.93870 0.00000 
 GB6J123213+180925  1.80748 1.80650 
 GB6J123223+195928  2.61015 2.60960 
 GB6J123225+673110  2.06792 0.00000 
 GB6J123234+514110  1.93761 1.93550 
 GB6J123350+345252  2.62859 0.00000 
 GB6J123350+502630  0.20684 0.00000 
 GB6J123355+582413  1.51526 1.51700 
 GB6J123413+475408  0.37307 0.37270 
 GB6J123417+505441  0.17248 0.00000 
 GB6J123431+645545  3.03448 3.03610 
 GB6J123437+391026  0.58435 0.00000 
 GB6J123444+363730  0.30851 0.00000 
 GB6J123450+353418  0.61307 0.61190 
 GB6J123453+674549  1.36713 1.36500 
 GB6J123455+320350  0.88944 0.00000 
 GB6J123505+362120  1.59988 1.59830 
 GB6J123532+522839  1.65626 1.65070 
 GB6J123605+242458  2.94401 2.93880 
 GB6J123620+135617  2.89112 0.00000 
 GB6J123621+385959  0.38943 0.00000 
 GB6J123629+472314  1.33063 0.00000 
 GB6J123717+470816  2.28836 2.27090 
 GB6J123723+505724  0.26468 0.00000 
 GB6J123734+612802  1.51354 0.00000 
 GB6J123736+192458  1.52753 1.53340 
 GB6J123756+223445  1.41924 1.41750 
 GB6J123836+234305  2.41506 2.41570 
 GB6J123855+193634  3.37370 3.37340 
 GB6J123915+405008  1.31415 1.31650 
 GB6J123927+295016  1.50131 0.00000 
 GB6J123932+044311  1.76064 1.76090 
 GB6J123955+341517  1.16891 1.16980 
 GB6J124003+261721  2.37503 2.37150 
 GB6J124008+242533  0.82938 0.83080 
 GB6J124043+231040  0.72271 0.72250 
 GB6J124104+413110  0.86021 0.85970 
 GB6J124114+252408  3.05577 3.05570 
 GB6J124114+624800  1.30068 0.00000 
 GB6J124135+162046  0.07021 0.00000 
 GB6J124136+285035  0.06632 0.00000 
 GB6J124156+105400  0.11692 0.00000 
 GB6J124210+024112  3.17530 0.00000 
 GB6J124210+371944  3.82437 3.83880 
 GB6J124252+375102  1.31712 1.31850 
 GB6J124313+362755  1.18207 0.00000 
 GB6J124319+395124  1.21606 0.00000 
 GB6J124357+193337  1.60463 1.60500 
 GB6J124424+095757  0.98541 0.00000 
 GB6J124509+571003  1.59147 0.00000 
 GB6J124511+565729  1.71380 0.00000 
 GB6J124558+434614  1.15129 1.15050 
 GB6J124600+223200  1.47774 1.47830 
 GB6J124617+322843  1.56139 1.56040 
 GB6J124619+262649  0.08860 0.00000 
 GB6J124632+023818  0.36225 0.36260 
 GB6J124635+115355  0.04717 0.00000 
 GB6J124708+274118  2.43554 0.00000 
 GB6J124708+324701  0.13513 0.00000 
 GB6J124721+435547  2.98725 0.00000 
 GB6J124732+672322  0.10722 0.00000 
 GB6J124747+102238  1.38212 1.37670 
 GB6J124754+212804  4.06939 0.00000 
 GB6J124804+082223  2.18341 0.00000 
 GB6J124818+582029  0.00351 0.00000 
 GB6J124832+512802  0.35067 0.00000 
 GB6J124837+202224  0.76802 0.76770 
 GB6J124841+263357  2.86296 0.00000 
 GB6J124851+483956  1.85578 1.84750 
 GB6J124917+210154  0.84974 0.84540 
 GB6J124918+281744  1.70643 1.70870 
 GB6J124935+492428  0.96656 0.96750 
 GB6J124959+250918  1.53607 1.53500 
 GB6J125003+114732  0.61285 0.00000 
 GB6J125009+162135  0.85004 0.85140 
 GB6J125026+001323  0.04677 0.00000 
 GB6J125027+134350  1.20067 0.00000 
 GB6J125040+520444  2.37621 0.00000 
 GB6J125102+384502  1.50550 1.50950 
 GB6J125114+060325  1.33796 1.33710 
 GB6J125146+431733  1.44006 1.45270 
 GB6J125219+132211  0.84006 0.00000 
 GB6J125220+395108  0.22530 0.00000 
 GB6J125226+191015  0.92194 0.90720 
 GB6J125227+193741  0.93758 0.93850 
 GB6J125229+142508  0.95445 0.95490 
 GB6J125239+331112  0.48914 0.48840 
 GB6J125241+024619  1.53780 1.54690 
 GB6J125248+112934  0.87417 0.87370 
 GB6J125251+174022  1.18867 0.00000 
 GB6J125259+550113  2.89713 2.89820 
 GB6J125305+290511  2.57526 2.56210 
 GB6J125311+530113  1.38028 0.00000 
 GB6J125330+572728  2.50259 0.00000 
 GB6J125345+032638  0.06565 0.00000 
 GB6J125418+152823  0.20234 0.00000 
 GB6J125421+054555  2.25164 0.00000 
 GB6J125428+453607  1.64662 1.64500 
 GB6J125431+262027  0.06910 0.00000 
 GB6J125433+185557  0.11544 0.00000 
 GB6J125434+613507  0.50221 0.00000 
 GB6J125438+114104  0.87243 0.87320 
 GB6J125441+295123  2.42167 0.00000 
 GB6J125459+253159  0.19185 0.00000 
 GB6J125500+034034  0.43702 0.43720 
 GB6J125504+533158  0.51261 0.00000 
 GB6J125506+622055  1.98404 1.98110 
 GB6J125532+181746  1.37120 0.00000 
 GB6J125543+612501  2.05516 2.05830 
 GB6J125552+530332  0.29779 0.00000 
 GB6J125558+553837  0.35982 0.00000 
 GB6J125717+245451  1.49588 1.49500 
 GB6J125741+183714  1.34886 1.34840 
 GB6J125752+475022  0.52811 0.00000 
 GB6J125757+322936  0.80516 0.80570 
 GB6J125802+282025  1.07236 0.00000 
 GB6J125825+483111  0.48080 0.00000 
 GB6J125832+290908  3.45770 3.46300 
 GB6J125835+003827  0.72468 0.72490 
 GB6J125910+413009  0.27829 0.00000 
 GB6J125913+205732  1.25416 1.25170 
 GB6J125915+101633  3.00477 0.00000 
 GB6J125930+514106  1.62007 0.00000 
 GB6J125957+233645  3.12556 0.00000 
 GB6J130021+141658  1.10715 1.10600 
 GB6J130027+282959  0.64684 0.64670 
 GB6J130037+082808  1.08386 1.09030 
 GB6J130041+141651  0.83594 0.00000 
 GB6J130120+282132  1.37056 1.36930 
 GB6J130123+284252  0.41953 0.00000 
 GB6J130132+463357  0.20552 0.00000 
 GB6J130147+405607  0.65217 0.00000 
 GB6J130217+481926  0.87429 0.87420 
 GB6J130222+270911  3.42606 3.38870 
 GB6J130252+232245  3.18779 3.19200 
 GB6J130252+574835  1.47868 0.00000 
 GB6J130313+245435  3.32560 3.32960 
 GB6J130334+410439  0.27453 0.00000 
 GB6J130336+474828  0.89613 0.00000 
 GB6J130443+013232  2.28672 2.28840 
 GB6J130443+130411  2.58121 2.56820 
 GB6J130446+635345  2.08215 0.00000 
 GB6J130503+275227  0.87383 0.87350 
 GB6J130510+385820  0.48594 0.00000 
 GB6J130524+052528  0.66529 0.00000 
 GB6J130526+074259  1.02312 1.02430 
 GB6J130553+014907  0.73326 0.73320 
 GB6J130603+552947  1.59944 1.60020 
 GB6J130605+514449  0.27731 0.00000 
 GB6J130619+111346  0.08571 0.00000 
 GB6J130628+195856  0.16830 0.00000 
 GB6J130631+474149  2.52000 2.53480 
 GB6J130644+511654  1.49115 0.00000 
 GB6J130704+485920  1.20944 0.00000 
 GB6J130714+135506  1.43098 1.43420 
 GB6J130800+591544  0.64753 0.00000 
 GB6J130807+495741  1.24628 0.00000 
 GB6J130820+030038  1.08078 1.08350 
 GB6J130823+354649  1.05376 0.00000 
 GB6J130836+434405  0.03581 0.00000 
 GB6J130850+473000  0.88571 0.88420 
 GB6J130909+555731  1.63095 1.63080 
 GB6J130912+091132  2.96518 2.96360 
 GB6J130924+430502  0.00080 0.00000 
 GB6J130933+115428  5.22879 0.00000 
 GB6J130939+472406  1.17915 0.00000 
 GB6J130942+404825  2.90666 2.90980 
 GB6J131026+004421  1.60052 1.60380 
 GB6J131029+322051  0.99591 0.99730 
 GB6J131041+020126  1.82992 1.82740 
 GB6J131058+323339  1.63911 1.63500 
 GB6J131103+291058  1.77284 1.77110 
 GB6J131103+551403  0.92566 0.92450 
 GB6J131107+141736  1.95624 1.94710 
 GB6J131109+223806  0.49718 0.00000 
 GB6J131109+343920  0.79072 0.00000 
 GB6J131156+103248  1.65426 0.00000 
 GB6J131218+351522  0.18295 0.18290 
 GB6J131249+311254  1.05385 1.05440 
 GB6J131254+151539  1.41924 1.42070 
 GB6J131330+020049  0.35573 0.00000 
 GB6J131341+102716  2.91509 2.91930 
 GB6J131405+543949  0.34645 0.00000 
 GB6J131406+072339  0.65883 0.65940 
 GB6J131429+544219  1.57083 0.00000 
 GB6J131432+470643  1.45585 0.00000 
 GB6J131444+234828  2.05926 0.00000 
 GB6J131453+173123  0.52277 0.00000 
 GB6J131454+474308  3.69585 0.00000 
 GB6J131459+145726  0.56787 0.00000 
 GB6J131502+122052  0.25934 0.00000 
 GB6J131526+614130  1.57179 0.00000 
 GB6J131529+281103  0.65588 0.65560 
 GB6J131548+565726  2.58647 0.00000 
 GB6J131622+050518  0.61722 0.00000 
 GB6J131729+060048  2.63557 2.60950 
 GB6J131736+342514  1.05419 1.05500 
 GB6J131739+411538  0.06611 0.00000 
 GB6J131813+180657  2.07542 2.08100 
 GB6J131904+103929  0.29283 0.00000 
 GB6J131907+621725  3.07084 3.07380 
 GB6J131932+140534  0.57268 0.00000 
 GB6J131941+162836  0.15873 0.00000 
 GB6J131947+514759  1.05636 1.05750 
 GB6J132011+585436  1.95501 0.00000 
 GB6J132017+603537  0.83924 0.84000 
 GB6J132027+014048  1.75138 0.00000 
 GB6J132033+331204  0.92171 0.92490 
 GB6J132052+454050  2.34941 0.00000 
 GB6J132111+221553  0.94614 0.94800 
 GB6J132138+002333  1.61945 1.61900 
 GB6J132152+351030  1.91781 0.00000 
 GB6J132211+214803  1.68392 1.68480 
 GB6J132229+180443  2.89399 0.00000 
 GB6J132254+391208  2.98674 2.98500 
 GB6J132324+251808  1.38871 1.38780 
 GB6J132333+313508  0.01618 0.00000 
 GB6J132355+313313  0.01618 0.00000 
 GB6J132356+250910  1.52673 1.52720 
 GB6J132400+573917  0.11504 0.00000 
 GB6J132415+453937  0.90368 0.90320 
 GB6J132415+501628  2.37571 0.00000 
 GB6J132457+325200  1.75502 1.74710 
 GB6J132512+112338  4.41771 4.41190 
 GB6J132513+395610  0.07555 0.00000 
 GB6J132515+380719  1.61911 0.00000 
 GB6J132518+511950  2.60617 0.00000 
 GB6J132531+235029  0.53740 0.00000 
 GB6J132534+001526  0.17628 0.00000 
 GB6J132535+065121  2.49378 0.00000 
 GB6J132550+052652  0.13549 0.00000 
 GB6J132602+065732  3.01604 3.00470 
 GB6J132612+285112  1.29972 1.29650 
 GB6J132628+155348  0.55868 0.00000 
 GB6J132659+171955  2.86394 0.00000 
 GB6J132701+221036  1.39784 1.40340 
 GB6J132702+031258  2.83005 2.82720 
 GB6J132720+432629  2.08642 2.08440 
 GB6J132725+500858  1.01233 1.02580 
 GB6J132735+240720  1.19999 1.19940 
 GB6J132754+122303  0.94943 0.00000 
 GB6J132804+502811  1.19246 1.19250 
 GB6J132839+622139  1.21830 1.21800 
 GB6J132840+415927  1.64359 1.64160 
 GB6J132843+510307  3.41081 3.40940 
 GB6J132855+174335  1.75320 0.00000 
 GB6J132900+105259  1.93774 1.93330 
 GB6J132906+500921  2.65219 0.00000 
 GB6J132915+480343  0.36955 0.00000 
 GB6J132935+495607  0.72219 0.00000 
 GB6J132947+394925  2.40753 0.00000 
 GB6J132947+534638  0.95699 0.00000 
 GB6J132953+315417  3.78854 0.00000 
 GB6J133029+241524  0.46268 0.00000 
 GB6J133030+495431  2.86504 2.86500 
 GB6J133054+135115  1.66426 1.66360 
 GB6J133117+052129  1.78229 1.77870 
 GB6J133124+124438  0.40041 0.00000 
 GB6J133133+171219  1.47864 0.00000 
 GB6J133154+060836  2.53300 0.00000 
 GB6J133215+202905  1.25787 1.25800 
 GB6J133230+170558  0.60970 0.60960 
 GB6J133244+071940  0.02338 0.00000 
 GB6J133245+472226  0.66878 0.66920 
 GB6J133254+020041  0.21582 0.21580 
 GB6J133307+272525  0.72749 0.00000 
 GB6J133325+473008  2.62241 2.62070 
 GB6J133335+164838  2.08397 2.08850 
 GB6J133411+384638  1.71348 1.71870 
 GB6J133422+304413  1.35499 1.35490 
 GB6J133436+563145  0.34262 0.34290 
 GB6J133440+001212  0.52129 0.00000 
 GB6J133451+312803  1.30801 1.30930 
 GB6J133506+540705  1.72580 1.72510 
 GB6J133512+025311  1.85555 1.85140 
 GB6J133542+050055  0.76972 0.00000 
 GB6J133557+184605  1.41183 1.41230 
 GB6J133610+473506  1.63587 0.00000 
 GB6J133616+613453  0.97621 0.00000 
 GB6J133617+031909  0.02288 0.00000 
 GB6J133630+031441  1.30302 1.30160 
 GB6J133653+171049  1.23293 1.23120 
 GB6J133654+530514  0.67963 0.00000 
 GB6J133712+231128  1.28449 1.28420 
 GB6J133716+653247  0.94505 0.94640 
 GB6J133728+003521  0.29881 0.00000 
 GB6J133740+294216  0.11547 0.00000 
 GB6J133748+144046  1.49120 1.49100 
 GB6J133749+550109  1.09736 1.09940 
 GB6J133752+514349  3.07210 0.00000 
 GB6J133825+250118  2.81798 0.00000 
 GB6J133833+101405  2.22685 0.00000 
 GB6J133839+182858  0.88408 0.00000 
 GB6J133857+430245  1.57603 0.00000 
 GB6J133900+115329  2.29900 0.00000 
 GB6J133904+281214  0.95396 0.00000 
 GB6J133916+562357  1.42338 1.42540 
 GB6J133923+632854  2.55997 2.55940 
 GB6J134021+105946  2.92114 0.00000 
 GB6J134023+375458  3.11301 3.10610 
 GB6J134028+440940  0.54607 0.00000 
 GB6J134035+444801  0.06544 0.00000 
 GB6J134041+300844  2.20621 0.00000 
 GB6J134103+321430  2.13919 2.15070 
 GB6J134114+281617  1.31358 0.00000 
 GB6J134133+353246  0.78222 0.78240 
 GB6J134138+551438  0.20700 0.00000 
 GB6J134139+371653  0.17453 0.00000 
 GB6J134205+370738  1.10327 1.10240 
 GB6J134209+270936  1.18885 1.18980 
 GB6J134222+511006  2.59794 2.60290 
 GB6J134242+050430  0.13648 0.00000 
 GB6J134252+260538  0.76689 0.00000 
 GB6J134254+282804  1.03534 1.03530 
 GB6J134254+403208  0.90514 0.90590 
 GB6J134259+284400  0.90687 0.00000 
 GB6J134313+430540  0.89669 0.00000 
 GB6J134321+271915  0.13837 0.00000 
 GB6J134343+185510  0.61454 0.00000 
 GB6J134346+660236  0.76431 0.00000 
 GB6J134358+575455  0.93212 0.93280 
 GB6J134437+335540  1.48426 1.48680 
 GB6J134442+402811  0.07539 0.00000 
 GB6J134444+555322  0.03734 0.00000 
 GB6J134523+093024  0.38956 0.00000 
 GB6J134525+412505  0.91608 0.91650 
 GB6J134532+445250  2.54172 0.00000 
 GB6J134548+070623  1.09354 1.09330 
 GB6J134626+092806  0.19684 0.00000 
 GB6J134637+290050  2.72584 0.00000 
 GB6J134702+385033  1.66452 1.66190 
 GB6J134723+183526  2.17852 2.17740 
 GB6J134723+380051  0.57400 0.00000 
 GB6J134807+304856  0.16919 0.00000 
 GB6J134811+193520  4.40410 0.00000 
 GB6J134821+433538  1.11602 1.11400 
 GB6J134826+133609  1.64709 1.64500 
 GB6J134849+155855  0.18243 0.00000 
 GB6J134850+075644  0.24960 0.00000 
 GB6J134856+395904  0.00885 0.00000 
 GB6J134934+534125  0.97861 0.97870 
 GB6J135015+381201  1.39484 1.39630 
 GB6J135023+094011  0.13255 0.00000 
 GB6J135026+241148  1.63003 1.62870 
 GB6J135028+210735  2.77621 0.00000 
 GB6J135032+190315  0.35437 0.00000 
 GB6J135033+385905  1.59401 1.59300 
 GB6J135037+334228  0.01434 0.00000 
 GB6J135045+062705  0.28207 0.00000 
 GB6J135045+233138  0.52832 0.52860 
 GB6J135052+303446  0.71160 0.71220 
 GB6J135118+083052  1.44213 1.43980 
 GB6J135142+024655  1.22142 1.22070 
 GB6J135148+341248  2.15213 2.15270 
 GB6J135158+554216  4.20654 0.00000 
 GB6J135200+360334  0.30630 0.00000 
 GB6J135229+490814  0.39672 0.39650 
 GB6J135251+654124  0.20644 0.00000 
 GB6J135257+021533  2.58863 2.57140 
 GB6J135304+044334  0.52263 0.52340 
 GB6J135313+350912  0.13875 0.00000 
 GB6J135331+113837  0.35220 0.00000 
 GB6J135340+604345  1.79763 1.79800 
 GB6J135350+015154  1.60678 1.60890 
 GB6J135358+632426  2.30494 2.30160 
 GB6J135428+370653  2.08308 0.00000 
 GB6J135434+391055  0.53328 0.00000 
 GB6J135453+172602  0.35180 0.00000 
 GB6J135541+302431  1.02113 1.02300 
 GB6J135549+245307  2.68751 0.00000 
 GB6J135607+413637  0.69566 0.00000 
 GB6J135653+291833  3.24242 0.00000 
 GB6J135704+191919  0.71967 0.71960 
 GB6J135725+001559  0.66138 0.66170 
 GB6J135726+092401  0.15038 0.00000 
 GB6J135748+441512  0.87366 0.87360 
 GB6J135805+214017  0.06642 0.00000 
 GB6J135821+321931  2.83514 2.83420 
 GB6J135822+005835  0.13819 0.00000 
 GB6J135847+183335  0.81043 0.00000 
 GB6J135905+554441  1.01264 0.00000 
 GB6J135908+280117  0.06447 0.00000 
 GB6J135908+304255  3.29266 0.00000 
 GB6J135916+063529  1.31670 0.00000 
 GB6J135927+015950  1.32892 1.33010 
 GB6J135942+124345  0.03921 0.00000 
 GB6J135948+270834  1.83216 1.83410 
 GB6J135957+210410  1.06372 1.06430 
 GB6J140025+175121  0.05056 0.00000 
 GB6J140030+264623  2.57423 0.00000 
 GB6J140039+104038  0.47554 0.00000 
 GB6J140045+180308  2.07435 2.07800 
 GB6J140127+520818  2.96294 2.97240 
 GB6J140132+415520  1.95368 1.94510 
 GB6J140140+361118  0.50609 0.00000 
 GB6J140151+333959  1.63497 1.63750 
 GB6J140157+482802  0.35634 0.00000 
 GB6J140214+581803  1.26580 1.26730 
 GB6J140242+515042  1.06223 0.00000 
 GB6J140308+463147  1.39047 0.00000 
 GB6J140311+250127  0.40637 0.00000 
 GB6J140344+411744  2.55349 0.00000 
 GB6J140409+530103  3.16093 3.14700 
 GB6J140436+270151  0.13832 0.00000 
 GB6J140500+041544  3.20798 3.21490 
 GB6J140507+405655  2.00839 1.99400 
 GB6J140510+445946  2.03190 2.04050 
 GB6J140517+341856  2.90322 0.00000 
 GB6J140520+465217  0.78429 0.00000 
 GB6J140625+250920  0.86680 0.86670 
 GB6J140654+343328  2.56412 2.56600 
 GB6J140700+251649  1.43816 0.00000 
 GB6J140700+282700  0.07701 0.07660 
 GB6J140729+072533  0.08695 0.00000 
 GB6J140737+524917  1.82756 0.00000 
 GB6J140743+140616  2.17782 2.17840 
 GB6J140759+081048  0.05961 0.00000 
 GB6J140810+104712  1.96814 1.96990 
 GB6J140812+561327  2.01666 2.02020 
