classname           z_sdss  z_shen 
 GB6J081502+380125  0.42261 0.00000 
 GB6J081526+363505  1.03031 1.02860 
 GB6J081528+095440  1.69715 1.69780 
 GB6J081534+295028  0.33099 0.00000 
 GB6J081557+100655  3.36482 0.00000 
 GB6J081638+524434  1.51437 1.52190 
 GB6J081705+195836  5.15461 0.00000 
 GB6J081710+235225  1.73086 1.73230 
 GB6J081721+402710  0.71333 0.00000 
 GB6J081816+422248  0.25906 0.00000 
 GB6J081825+281355  0.22534 0.00000 
 GB6J081902+322642  2.01651 0.65120 
 GB6J081919+274730  2.18173 0.00000 
 GB6J081925+403746  0.38930 0.00000 
 GB6J082013+112542  3.50275 0.00000 
 GB6J082021+363953  0.59570 0.00000 
 GB6J082039+243523  2.54456 0.00000 
 GB6J082041+544440  1.67094 0.00000 
 GB6J082052+235322  0.40223 0.00000 
 GB6J082054+100622  0.95446 0.95560 
 GB6J082106+310756  2.53741 2.62550 
 GB6J082114+303710  0.99873 0.00000 
 GB6J082154+285746  2.79693 0.00000 
 GB6J082154+503136  2.12286 2.13260 
 GB6J082206+470516  0.12708 0.00000 
 GB6J082231+231239  0.65316 0.65300 
 GB6J082245+041819  0.02878 0.00000 
 GB6J082255+060529  1.98494 1.98550 
 GB6J082257+404146  0.86550 0.86540 
 GB6J082321+152445  0.16670 0.00000 
 GB6J082324+222314  5.65267 0.00000 
 GB6J082329+061148  2.79583 2.78280 
 GB6J082341+292842  2.37193 0.00000 
 GB6J082356+413757  3.01635 0.00000 
 GB6J082406+375305  0.33733 0.00000 
 GB6J082427+234112  2.60745 2.56770 
 GB6J082437+405712  0.61227 0.61240 
 GB6J082447+555238  1.41908 1.41810 
 GB6J082456+391645  1.21561 1.21530 
 GB6J082546+270420  0.69320 0.69330 
 GB6J082602+524730  1.52978 0.00000 
 GB6J082644+143412  2.31164 2.31230 
 GB6J082646+065434  0.96442 0.96560 
 GB6J082652+125655  0.59181 0.59170 
 GB6J082706+105220  2.28228 2.28150 
 GB6J082739+352501  2.27978 0.00000 
 GB6J082751+521802  0.33783 0.33810 
 GB6J082807+394821  0.98859 0.00000 
 GB6J082836+504845  0.92764 0.92860 
 GB6J082837+222040  2.40754 0.00000 
 GB6J082842+004533  0.72300 0.00000 
 GB6J082846+003922  2.28325 0.00000 
 GB6J082905+175410  0.08947 0.00000 
 GB6J082906+140350  0.13730 0.00000 
 GB6J082919+251135  0.12892 0.00000 
 GB6J082923+280936  0.59192 0.00000 
 GB6J082926+224436  0.08729 0.00000 
 GB6J082935+401853  0.74780 0.00000 
 GB6J082959+174135  1.56568 0.00000 
 GB6J083031+052002  2.21848 2.21700 
 GB6J083039+133350  0.15509 0.00000 
 GB6J083040+155056  2.42683 0.00000 
 GB6J083052+241047  0.93877 0.94200 
 GB6J083055+540041  0.06169 0.00000 
 GB6J083058+072916  1.58051 1.57940 
 GB6J083105+515552  2.17041 0.00000 
 GB6J083133+174622  0.00007 0.00000 
 GB6J083135+163010  0.89281 0.00000 
 GB6J083140+460800  0.13106 0.00000 
 GB6J083149+042949  0.17386 0.17380 
 GB6J083154+084800  0.94183 0.94140 
 GB6J083216+183203  0.15411 0.00000 
 GB6J083223+491309  0.54867 0.00000 
 GB6J083234+042418  0.06467 0.00000 
 GB6J083248+422451  1.05396 1.05090 
 GB6J083249+155413  2.42421 2.41650 
 GB6J083313+112400  2.98121 2.97900 
 GB6J083322+095956  3.71284 3.73100 
 GB6J083333+392400  1.30217 0.00000 
 GB6J083337+211459  1.08157 0.00000 
 GB6J083337+213208  0.57864 0.57810 
 GB6J083354+422402  1.06704 0.24910 
 GB6J083417+601950  0.71675 0.71660 
 GB6J083430+240133  1.42039 1.42120 
 GB6J083455+553430  0.24151 0.00000 
 GB6J083458+440344  1.47316 0.00000 
 GB6J083521+290924  1.27890 1.26890 
 GB6J083543+093659  1.30328 0.00000 
 GB6J083548+151707  0.16838 0.00000 
 GB6J083548+182519  4.41266 0.00000 
 GB6J083608+093328  2.79365 0.00000 
 GB6J083622+272852  0.76197 0.00000 
 GB6J083636+412550  1.30145 1.30040 
 GB6J083639+280921  2.66517 0.00000 
 GB6J083713+165943  0.73101 0.73120 
 GB6J083720+582514  2.10295 2.10100 
 GB6J083725+145824  0.27795 0.00000 
 GB6J083731+481021  1.79688 1.79540 
 GB6J083741+245424  1.12531 1.12540 
 GB6J083755+050724  1.20582 1.20760 
 GB6J083852+115119  2.29555 2.29310 
 GB6J083901+401608  0.19414 0.00000 
 GB6J083910+200201  3.03386 3.03510 
 GB6J083915+285049  0.07896 0.00000 
 GB6J083931+180233  1.15551 0.00000 
 GB6J083945+511206  4.40259 4.39030 
 GB6J083952+430146  0.24382 0.00000 
 GB6J083956+025204  3.67922 3.68120 
 GB6J084034+021430  1.42764 0.00000 
 GB6J084050+444002  0.76940 1.33420 
 GB6J084116+384423  0.28014 0.00000 
 GB6J084137+102946  2.83266 0.00000 
 GB6J084141+465256  2.08343 0.00000 
 GB6J084154+231957  1.18846 1.18860 
 GB6J084157+213652  0.89733 0.00000 
 GB6J084204+401823  0.15164 0.15160 
 GB6J084205+183552  1.27406 1.27030 
 GB6J084215+452547  1.40812 1.40800 
 GB6J084224+205600  3.58604 3.57160 
 GB6J084241+391100  0.11656 0.00000 
 GB6J084249+515331  1.13617 1.13680 
 GB6J084258+001317  2.70701 0.00000 
 GB6J084306+453739  0.19195 0.00000 
 GB6J084346+582318  1.48288 1.49030 
 GB6J084352+374232  1.73544 1.73970 
 GB6J084356+510522  0.12634 0.00000 
 GB6J084409+531251  1.23384 0.00000 
 GB6J084411+224105  1.97824 1.96940 
 GB6J084416+134032  1.73730 1.73880 
 GB6J084424+511457  1.24737 1.24660 
 GB6J084428+383057  2.94074 0.00000 
 GB6J084432+260602  0.10836 0.00000 
 GB6J084434+455441  0.68907 0.00000 
 GB6J084508+231237  0.15215 0.00000 
 GB6J084511+423912  0.36438 0.00000 
 GB6J084514+064336  0.41966 0.00000 
 GB6J084520+271843  1.26742 1.26660 
 GB6J084527+422003  0.13304 0.00000 
 GB6J084542+172452  1.29370 1.29420 
 GB6J084559+070437  0.34175 0.34200 
 GB6J084604+163909  1.95600 1.95080 
 GB6J084649+064152  0.61533 0.61610 
 GB6J084651+354638  2.81948 0.00000 
 GB6J084710+113424  0.19843 0.00000 
 GB6J084715+383105  3.18058 3.16560 
 GB6J084734+460933  1.21648 1.21630 
 GB6J084740+104929  0.72353 0.00000 
 GB6J084759+314736  0.06731 0.00000 
 GB6J084825+200022  3.41777 0.00000 
 GB6J084909+020619  0.63049 0.00000 
 GB6J084948+151213  0.64050 0.00000 
 GB6J084957+510844  0.58404 0.58350 
 GB6J085005+403610  0.26656 0.00000 
 GB6J085008+593054  1.71841 1.71990 
 GB6J085021+624605  1.14968 1.15190 
 GB6J085025+374659  0.40715 0.40680 
 GB6J085042+515913  1.89392 1.89350 
 GB6J085118+135801  0.95047 0.95140 
 GB6J085133+201059  1.55103 1.55060 
 GB6J085137+484734  1.67020 0.00000 
 GB6J085142+405100  0.58345 0.58300 
 GB6J085205+283400  1.28194 1.28220 
 GB6J085206+514858  0.56345 0.00000 
 GB6J085221+473525  2.41193 2.41800 
 GB6J085228+243357  0.35761 0.00000 
 GB6J085228+592302  1.57655 0.00000 
 GB6J085244+343543  1.65237 1.65530 
 GB6J085258+225108  3.54464 0.00000 
 GB6J085317+281343  0.91970 0.92000 
 GB6J085321+385235  0.12765 0.00000 
 GB6J085325+092819  0.11569 0.00000 
 GB6J085329+221056  0.71953 0.00000 
 GB6J085348+065513  0.22349 0.00000 
 GB6J085354+142957  0.48379 0.48340 
 GB6J085416+532731  2.40706 2.41850 
 GB6J085434+072032  0.65507 0.65440 
 GB6J085440+575730  1.31770 1.31780 
 GB6J085448+200647  0.77778 0.00000 
