#  sigmarray   fwhmarray   lumiarray
#
       25.45        38.5       462.1
       25.28        44.6       466.7
       28.98        43.4       488.3
       30.86        42.2         528
       31.79        39.6       514.6
       27.97        43.2       514.3
       22.09        37.2       463.1
       26.18        39.9       460.9
       28.52        40.9       495.9
       23.68        42.9       445.9
       24.36        42.1       473.2
        32.3        41.9       567.1
       25.92        38.5       509.8
       25.71        42.5       494.4
       24.79        41.9       485.3
       22.87        40.7       441.1
        29.7        37.5         508
       36.55        41.4       572.2
       24.98        44.2       481.5
       32.04        40.2       517.6
       28.46        44.7       519.7
       25.99        48.8       465.4
       25.79          42       489.6
        27.1        42.3       489.8
        28.6        42.9       495.9
       26.27        40.5         502
       23.26        39.5       472.8
       37.64          42       547.2
        22.9        40.9       502.8
       32.83        40.7       521.1
       25.17        39.9         476
       26.08        43.5       504.9
       23.64          40         460
       29.14        41.5       510.1
        24.3        42.4       472.9
       30.84        44.6       535.1
       28.83        43.2       504.3
       25.64        44.1       480.8
       26.21        38.8       476.9
       24.52        41.9       455.8
          25        40.8         474
       22.91        40.1       462.7
       25.06          44       473.6
       23.71        42.2       454.5
       24.77        42.6       476.4
       26.24        41.8       490.8
       24.35        43.6       479.5
        25.2        39.7       492.7
       29.51        44.8       504.4
       27.47        37.5       504.4
       24.79        43.3       484.4
       26.31        42.6       465.4
       28.82        44.3       520.4
       24.06        42.7       469.1
       25.75        40.7       466.5
       27.06        41.9       475.4
        26.8        41.9       473.2
       28.58        40.1       514.5
       29.32        37.9       518.4
       25.48        38.3       511.6
       23.66        43.2       475.1
       31.91        38.1       525.6
       26.22        40.3       492.5
       29.47          43       496.2
       36.23        41.8       522.1
        22.7        41.4       460.8
       28.43        41.7         507
       29.44        40.8       520.2
       24.73        40.4       463.1
       27.61        41.3       506.1
       32.18        37.3       520.9
       28.74          46       505.7
       25.37          44       490.9
       31.82        41.9       515.6
       24.69        48.6       510.9
       30.25        38.7       477.7
       26.59        44.2       508.9
       25.28        41.5       453.8
       28.35        40.2       493.9
       26.25        44.1       447.6
       37.12        39.4       560.2
       27.22        41.4       490.9
       25.26        42.4       483.7
       27.76        42.9       478.5
        24.8        40.3       452.2
       32.39        40.7       538.8
       29.33        40.2       502.7
       23.24        40.2       446.6
        23.1        43.9       452.5
        23.3        43.3       438.4
       30.63        41.1       526.8
       30.16        44.6       513.6
       29.15        43.9       476.7
       27.38        40.9       513.3
       28.84        40.5       505.2
       24.83        39.3       454.8
       27.15        43.8       486.7
       25.93        43.4       462.7
       26.53        41.9       492.7
       25.99        38.2       494.6
        25.7        41.7         476
       19.51        47.9       451.3
       25.92        42.2       491.2
       23.11        44.4       490.5
       22.47        43.5       460.4
       39.74        38.5       567.3
       25.62        41.9       464.9
       29.34        43.8       463.9
       32.76        44.5       560.2
        27.7        38.8       494.2
       34.75        41.1       540.9
       31.91        38.6       496.4
          27        43.3       481.4
       33.08          38       548.5
       26.13        40.5       485.1
       21.05        42.1       439.8
       33.25        35.7       544.9
       24.76        44.3       473.5
       26.91        42.5       500.7
       25.74        42.5       481.5
       24.46        38.8         480
       23.52        41.6       488.8
       24.21        42.3       495.5
       22.66        39.4       441.7
       21.99        44.3       476.3
        24.9        43.3       485.4
       24.55        38.8       451.9
       28.87        44.8       492.9
       26.43        42.5         471
       27.29        40.8       491.8
       27.69        41.7         493
        26.4        42.5       504.6
       26.95        44.2       477.4
       30.38        44.1         508
       23.76        41.1         457
       33.94        42.7       528.1
       25.92        43.4       482.8
       23.37        38.4       447.7
       27.18        41.5       469.9
       27.94        46.2       510.5
       29.73        45.3       545.7
       24.65        41.3       475.2
       25.63        40.5       466.2
       28.92        38.9       474.8
        25.1        46.5       468.8
       48.76          38       623.8
       23.35        38.8       457.1
       28.73        38.4       470.4
       27.04        44.7         528
       23.24        45.5       485.7
       27.16        40.1       504.5
       24.53        40.5       472.9
       22.06        40.9       445.7
       27.72        37.4       462.4
        26.4        42.6       490.7
       33.34          38       525.9
       27.61        39.3       531.2
       24.57        43.6       465.9
       22.91        40.5       467.3
       24.94        40.3       494.5
       30.74        46.5         512
       29.69        43.3       495.7
       28.82        39.6         489
       26.77        39.9       488.9
       46.49        36.5       624.7
       34.36        47.7       549.9
       29.81        42.8       529.5
       26.16        43.8       474.5
       25.98        41.9       479.1
       25.89        41.1       489.4
       26.52        41.2       485.7
       22.69        41.2       457.5
       40.69        43.4         610
       28.61        40.8       478.4
       22.24        39.6       447.7
       26.56        39.8       463.4
       25.92          39       470.5
       29.31        44.4       501.7
       22.98          41       460.1
       23.74        41.7       463.3
       29.18        40.9       498.2
       22.32        43.3       476.3
       29.22        42.6       515.7
       27.84        41.1       481.5
       28.23          41       500.3
       25.49        42.9       483.2
        26.2        40.9       497.6
       30.48        39.7       506.1
       26.45        42.8       483.6
       25.62        35.4       434.3
       24.57        41.8       479.4
       26.87        44.6       472.1
       36.49        43.7       568.2
       24.33        44.4         475
