?qx_off,",",f1->classname,",",f1->class,",",f1->z,",",f2->Z,",",f2->logbh_hbmd04,",",f2->LOGBH_HBMD04_ER,",",f2->LOGBH_HBVP06,",",f2->LOGBH_HBVP06_ER,",",f2->LOGBH_MGMD04,",",f2->LOGBH_MGMD04_ER,",",f2->LOGBH_MGVO09,",",f2->LOGBH_MGVO09_ER,",",f2->LOGBH_MGS10,",",f2->LOGBH_MGS10_ER,",",f2->LOGBH_CIVVP06,",",f2->LOGBH_CIVVP06_ER,",",f2->LOGBH,",",LOGBH_ERR,",",f2->LOGEDD_RATIO
         0.08 , GB6J125506+622055 , -          , 0.000000 , 1.98110 ,  0.000 , -1.000 ,  0.000 , -1.000 ,  9.647 ,  0.039 ,  9.483 ,  0.090 ,  9.664 ,  0.095 ,  9.726 ,  0.061 ,  9.726 ,  0.061 , -0.534
         0.03 , GB6J100841+621941 , -          , 0.000000 , 1.87440 ,  0.000 , -1.000 ,  0.000 , -1.000 ,  9.388 ,  0.058 ,  9.259 ,  0.073 ,  9.365 ,  0.083 ,  8.993 ,  0.119 ,  9.365 ,  0.083 , -0.874
         0.06 , GB6J131907+621725 , -          , 3.070835 , 3.07380 ,  0.000 , -1.000 ,  0.000 , -1.000 ,  0.000 , -1.000 ,  0.000 , -1.000 ,  0.000 , -1.000 ,  8.750 ,  0.042 ,  8.750 ,  0.042 ,  0.157
         0.02 , GB6J092135+621546 , QSO        , 1.446000 , 1.45320 ,  0.000 , -1.000 ,  0.000 , -1.000 ,  9.257 ,  0.041 ,  8.996 ,  0.140 ,  9.375 ,  0.105 ,  0.000 , -1.000 ,  9.375 ,  0.105 , -0.644
         0.12 , GB6J120539+620444 , -          , 0.000000 , 2.10260 ,  0.000 , -1.000 ,  0.000 , -1.000 ,  9.079 ,  0.110 ,  8.559 ,  0.451 ,  9.135 ,  0.297 ,  9.086 ,  0.136 ,  9.086 ,  0.136 , -0.767
         0.05 , GB6J100516+615443 , -          , 0.000000 , 2.74030 ,  0.000 , -1.000 ,  0.000 , -1.000 ,  0.000 , -1.000 ,  0.000 , -1.000 ,  0.000 , -1.000 ,  9.803 ,  0.104 ,  9.803 ,  0.104 , -0.259
         0.05 , GB6J091708+614924 , -          , 0.000000 , 1.44930 ,  0.000 , -1.000 ,  0.000 , -1.000 ,  9.005 ,  0.031 ,  8.886 ,  0.080 ,  8.956 ,  0.180 ,  0.000 , -1.000 ,  8.956 ,  0.180 , -0.764
         0.09 , GB6J111219+614901 , -          , 0.000000 , 2.23280 ,  0.000 , -1.000 ,  0.000 , -1.000 ,  9.989 ,  0.150 ,  9.777 ,  0.709 ,  9.914 ,  0.558 ,  8.714 ,  0.311 ,  8.714 ,  0.311 , -0.244
         0.04 , GB6J141031+614138 , -          , 0.000000 , 2.24680 ,  0.000 , -1.000 ,  0.000 , -1.000 ,  9.238 ,  0.107 ,  9.002 ,  0.183 ,  9.146 ,  0.211 ,  9.447 ,  0.071 ,  9.447 ,  0.071 , -0.595
         0.07 , GB6J094421+613543 , -          , 0.000000 , 0.79200 ,  8.495 ,  0.043 ,  8.495 ,  0.076 ,  8.675 ,  0.029 ,  8.543 ,  0.074 ,  8.595 ,  0.078 ,  0.000 , -1.000 ,  8.595 ,  0.078 , -0.555
         0.09 , GB6J143828+613046 , -          , 0.000000 , 0.99760 ,  0.000 , -1.000 ,  0.000 , -1.000 ,  9.182 ,  0.021 ,  8.752 ,  0.064 ,  8.881 ,  0.239 ,  0.000 , -1.000 ,  8.881 ,  0.239 , -0.196
         0.05 , GB6J125543+612501 , QSO        , 2.055000 , 2.05830 ,  0.000 , -1.000 ,  0.000 , -1.000 ,  9.088 ,  0.143 ,  8.751 ,  0.564 ,  9.323 ,  0.244 ,  8.151 ,  0.266 ,  8.151 ,  0.266 ,  0.004
         0.06 , GB6J101726+611633 , QSO        , 2.805000 , 2.80520 ,  0.000 , -1.000 ,  0.000 , -1.000 ,  0.000 , -1.000 ,  0.000 , -1.000 ,  0.000 , -1.000 ,  9.260 ,  0.065 ,  9.260 ,  0.065 , -0.087
         0.05 , GB6J093309+610635 , -          , 0.000000 , 1.91080 ,  0.000 , -1.000 ,  0.000 , -1.000 ,  8.702 ,  0.155 ,  8.141 ,  0.344 ,  8.914 ,  0.262 ,  8.075 ,  0.155 ,  8.075 ,  0.155 , -0.203
         0.05 , GB6J144001+610139 , -          , 0.000000 , 2.11370 ,  0.000 , -1.000 ,  0.000 , -1.000 ,  9.909 ,  0.043 ,  9.632 ,  0.099 ,  9.812 ,  0.161 ,  9.658 ,  0.050 ,  9.658 ,  0.050 , -0.471
         0.10 , GB6J171209+605341 , -          , 0.000000 , 1.68610 ,  0.000 , -1.000 ,  0.000 , -1.000 ,  9.661 ,  0.032 ,  9.802 ,  0.103 ,  9.958 ,  0.089 ,  8.794 ,  0.088 ,  9.958 ,  0.089 , -1.427
         0.02 , GB6J103352+605117 , QSO        , 1.401000 , 1.40090 ,  0.000 , -1.000 ,  0.000 , -1.000 ,  9.258 ,  0.077 ,  8.631 ,  0.251 ,  8.904 ,  0.646 ,  0.000 , -1.000 ,  8.904 ,  0.646 , -0.555
         0.06 , GB6J150204+604553 , -          , 0.000000 , 1.29690 ,  0.000 , -1.000 ,  0.000 , -1.000 ,  8.941 ,  0.021 ,  9.062 ,  0.036 ,  9.127 ,  0.041 ,  0.000 , -1.000 ,  9.127 ,  0.041 , -0.972
         0.06 , GB6J135340+604345 , -          , 0.000000 , 1.79800 ,  0.000 , -1.000 ,  0.000 , -1.000 ,  9.344 ,  0.025 ,  9.444 ,  0.061 ,  9.579 ,  0.058 ,  9.637 ,  0.034 ,  9.579 ,  0.058 , -0.843
         0.10 , GB6J110454+603857 , QSO        , 1.363000 , 1.36230 ,  0.000 , -1.000 ,  0.000 , -1.000 ,  8.661 ,  0.030 ,  8.687 ,  0.048 ,  8.714 ,  0.076 ,  0.000 , -1.000 ,  8.714 ,  0.076 , -0.722
         0.02 , GB6J132017+603537 , -          , 0.000000 , 0.84000 ,  9.593 ,  0.139 ,  8.734 ,  1.223 ,  9.048 ,  0.023 ,  8.630 ,  0.105 ,  9.006 ,  0.141 ,  0.000 , -1.000 ,  9.006 ,  0.141 , -0.951
         0.08 , GB6J101825+602115 , -          , 0.000000 , 1.84430 ,  0.000 , -1.000 ,  0.000 , -1.000 ,  8.977 ,  0.078 ,  8.673 ,  0.188 ,  8.762 ,  0.507 ,  8.431 ,  0.071 ,  8.762 ,  0.507 , -0.409
         0.06 , GB6J103144+602030 , QSO        , 1.230000 , 1.22980 ,  0.000 , -1.000 ,  0.000 , -1.000 ,  9.057 ,  0.024 ,  8.860 ,  0.070 ,  9.149 ,  0.138 ,  0.000 , -1.000 ,  9.149 ,  0.138 , -0.659
         0.03 , GB6J083417+601950 , QSO        , 0.720000 , 0.71660 ,  7.743 ,  0.171 ,  7.810 ,  0.436 ,  7.833 ,  0.034 ,  8.010 ,  0.073 ,  8.036 ,  0.065 ,  0.000 , -1.000 ,  8.036 ,  0.065 , -1.206
         0.08 , GB6J094557+601240 , -          , 0.000000 , 2.50980 ,  0.000 , -1.000 ,  0.000 , -1.000 ,  0.000 , -1.000 ,  0.000 , -1.000 ,  0.000 , -1.000 ,  9.114 ,  0.058 ,  9.114 ,  0.058 , -0.195
         0.10 , GB6J111914+600459 , QSO        , 2.646000 , 2.64730 ,  0.000 , -1.000 ,  0.000 , -1.000 ,  0.000 , -1.000 ,  0.000 , -1.000 ,  0.000 , -1.000 ,  9.789 ,  0.113 ,  9.789 ,  0.113 , -0.107
         0.05 , GB6J151526+593447 , QSO        , 0.622000 , 0.62260 ,  8.727 ,  0.101 ,  8.737 ,  0.188 ,  8.099 ,  0.033 ,  8.423 ,  0.048 ,  8.325 ,  0.058 ,  0.000 , -1.000 ,  8.737 ,  0.188 , -1.358
         0.19 , GB6J085008+593054 , QSO        , 1.710000 , 1.71990 ,  0.000 , -1.000 ,  0.000 , -1.000 ,  9.928 ,  0.011 ,  9.506 ,  0.053 ,  9.649 ,  0.194 ,  9.312 ,  0.017 ,  9.649 ,  0.194 , -0.122
         8.48 , GB6J103434+592454 , -          , 0.000000 , 2.13080 ,  0.000 , -1.000 ,  0.000 , -1.000 ,  9.827 ,  0.079 ,  8.895 ,  0.292 ,  8.642 ,  0.560 ,  9.694 ,  0.067 ,  9.694 ,  0.067 , -0.928
         0.11 , GB6J115103+592344 , -          , 0.000000 , 1.79280 ,  0.000 , -1.000 ,  0.000 , -1.000 ,  8.924 ,  0.092 ,  9.054 ,  0.423 ,  9.065 ,  0.161 ,  8.650 ,  0.372 ,  9.065 ,  0.161 , -1.365
         0.07 , GB6J172236+585636 , QSO        , 1.979000 , 1.98090 ,  0.000 , -1.000 ,  0.000 , -1.000 ,  9.094 ,  0.056 ,  9.227 ,  0.236 ,  9.329 ,  0.114 ,  8.780 ,  0.060 ,  8.780 ,  0.060 , -0.393
         0.02 , GB6J152745+584927 , -          , 0.000000 , 0.63600 ,  9.318 ,  0.038 ,  9.446 ,  0.069 ,  8.928 ,  0.027 ,  9.151 ,  0.088 ,  9.163 ,  0.086 ,  0.000 , -1.000 ,  9.446 ,  0.069 , -1.582
