 classname				 z_shen  gbflux psfmagr logMBH_shen    logMBH_shen_Err    logMBH_shen_CIV    logMBH_shen_CIV_err 	# CLASS con massa Shen
 GB6J090912+083603 1.75470    260  17.737       9.289           0.563           8.970               0.038 
 GB6J090923+521652 0.41020     48  17.762       9.352           0.129           0.000              -1.000 
 GB6J090955+332337 1.49050     47  19.938       8.412           0.101           0.000              -1.000 
 GB6J091039+201232 1.61240     36  20.072       9.136           0.205           8.978               0.142 
 GB6J091053+564353 1.39310     32  19.672       9.020           0.065           0.000              -1.000 
 GB6J091134+195807 1.63980    284  17.843       9.589           0.096           9.281               0.238 
 GB6J091140+020528 2.36480    101  20.385       9.113           0.149           9.113               0.149 
 GB6J091203+083742 1.53880    120  18.906       8.771           0.062           8.535               0.059 
 GB6J091217+413928 1.77720    106  19.299       8.911           0.156           9.150               0.071 
 GB6J091224+220503 0.99330    192  19.101       8.533           0.098           0.000              -1.000 
 GB6J091238+415251 1.31050     30  20.061       8.643           0.065           0.000              -1.000 
 GB6J091251+442208 1.72580    164  18.189       9.470           0.210           8.824               0.035 
 GB6J091352+440254 1.17830    222  18.508       9.338           0.075           0.000              -1.000 
 GB6J091416+185825 1.95550     49  19.013       9.372           0.076           9.372               0.076 
 GB6J091439+351205 1.07380    307  19.148       8.711           0.053           0.000              -1.000 
 GB6J091455+233234 1.51820     74  18.826       9.011           0.102           8.700               0.072 
 GB6J091508+205611 1.77390    192  19.486       9.496           0.118           9.372               0.076 
 GB6J091528+441637 1.48820    108  18.234       9.427           0.034           0.000              -1.000 
 GB6J091542+251925 0.71070     89  17.775       9.451           0.082           0.000              -1.000 
 GB6J091637+183801 0.97040    145  17.216       9.164           0.060           0.000              -1.000 
 GB6J091641+024300 1.10190    136  19.019       8.634           0.177           0.000              -1.000 
 GB6J091646+100645 1.51120    123  18.800       9.031           0.096           8.776               0.038 
 GB6J091648+385432 1.26560    550  18.863       8.724           0.206           0.000              -1.000 
 GB6J091708+614924 1.44930    124  19.097       8.956           0.180           0.000              -1.000 
 GB6J091719+145632 1.03340     70  19.935       8.483           0.070           0.000              -1.000 
 GB6J091747+480943 1.35670     67  19.995       8.673           0.109           0.000              -1.000 
