 classname				 z_shen  gbflux psfmagr logMBH_shen    logMBH_shen_Err    logMBH_shen_CIV    logMBH_shen_CIV_err 	# CLASS con massa Shen
 GB6J124043+231040 0.72250     50  18.718       8.940           0.074           0.000              -1.000 
 GB6J124104+413110 0.85970     39  19.695       8.558           0.302           0.000              -1.000 
 GB6J124114+252408 3.05570     49  19.001       9.306           0.099           9.306               0.099 
 GB6J124210+371944 3.83880    372  19.370       8.828           0.137           8.828               0.137 
 GB6J124252+375102 1.31850    758  18.301       9.234           0.063           0.000              -1.000 
 GB6J124357+193337 1.60500     87  18.093       9.442           0.036           8.912               0.138 
 GB6J124558+434614 1.15050     48  17.646       9.275           0.065           0.000              -1.000 
 GB6J124600+223200 1.47830    135  17.318       9.538           0.060           0.000              -1.000 
 GB6J124617+322843 1.56040     69  18.959       9.067           0.167           8.867               0.098 
 GB6J124632+023818 0.36260     46  18.207       7.667           0.431           0.000              -1.000 
 GB6J124747+102238 1.37670    120  17.366       9.553           0.033           0.000              -1.000 
 GB6J124837+202224 0.76770    140  18.169       8.989           0.077           0.000              -1.000 
 GB6J124917+210154 0.84540     64  19.119       8.932           0.096           0.000              -1.000 
 GB6J124918+281744 1.70870    119  18.471       9.159           0.064           9.276               0.046 
 GB6J124935+492428 0.96750     31  18.861       8.980           0.178           0.000              -1.000 
 GB6J124959+250918 1.53500     32  18.729       8.921           0.216           8.752               0.226 
 GB6J125006+015755 0.00000    137   0.000       9.260           0.115           0.000              -1.000 
 GB6J125009+162135 0.85140    234  17.698       8.830           0.086           0.000              -1.000 
 GB6J125102+384502 1.50950    101  19.045       8.891           0.164           8.697               0.039 
 GB6J125114+060325 1.33710     99  18.439       9.141           0.057           0.000              -1.000 
 GB6J125146+431733 1.45270     55  18.802       9.663           0.117           0.000              -1.000 
 GB6J125226+191015 0.90720     35  19.034       9.180           0.043           0.000              -1.000 
 GB6J125227+193741 0.93850     36  19.326       8.628           0.069           0.000              -1.000 
 GB6J125229+142508 0.95490     41  18.683       8.889           0.112           0.000              -1.000 
 GB6J125239+331112 0.48840    167  19.647       8.137           0.239           0.000              -1.000 
 GB6J125241+024619 1.54690     71  20.600       9.252           0.069           9.364               0.286 
 GB6J125248+112934 0.87370     54  17.118       9.404           0.061           0.000              -1.000 
 GB6J125259+550113 2.89820     31  18.978       9.139           0.082           9.139               0.082 
 GB6J125305+290511 2.56210     40  17.943       9.046           0.077           9.046               0.077 
 GB6J125428+453607 1.64500    151  18.657       9.167           0.135           9.649               0.085 
 GB6J125438+114104 0.87320    724  16.747       9.071           0.024           0.000              -1.000 
 GB6J125500+034034 0.43720     77  17.965       8.609           0.043           0.000              -1.000 
 GB6J125506+622055 1.98110     47  17.862       9.726           0.061           9.726               0.061 
 GB6J125543+612501 2.05830     97  19.808       8.151           0.266           8.151               0.266 
 GB6J125717+245451 1.49500     74  17.926       9.124           0.056           0.000              -1.000 
 GB6J125741+183714 1.34840     45  20.216       8.731           0.311           0.000              -1.000 
 GB6J125757+322936 0.80570    488  18.798       8.744           0.073           0.000              -1.000 
 GB6J125832+290908 3.46300     34  18.919       9.421           0.140           9.421               0.140 
 GB6J125835+003827 0.72490     84  19.253       8.364           0.118           0.000              -1.000 
 GB6J125913+205732 1.25170     35  19.037       8.609           0.090           0.000              -1.000 
 GB6J130021+141658 1.10600    320  18.705       8.975           0.108           0.000              -1.000 
 GB6J130027+282959 0.64670    192  17.042       9.880           0.086           0.000              -1.000 
 GB6J130037+082808 1.09030    180  17.528       9.381           0.127           0.000              -1.000 
 GB6J130120+282132 1.36930     68  18.793       8.844           0.127           0.000              -1.000 
 GB6J130217+481926 0.87420    218  17.963       8.814           0.040           0.000              -1.000 
 GB6J130222+270911 3.38870     68  19.357       9.566           0.055           9.566               0.055 
 GB6J130252+232245 3.19200     60  19.113       8.880           0.079           8.880               0.079 
 GB6J130313+245435 3.32960     37  19.283       9.180           0.045           9.180               0.045 
 GB6J130443+013232 2.28840     52  20.137       8.908           0.137           8.908               0.137 
 GB6J130503+275227 0.87350     49  19.767       8.456           0.068           0.000              -1.000 
 GB6J130526+074259 1.02430     58  18.989       8.963           0.126           0.000              -1.000 
 GB6J130553+014907 0.73320    106  17.539       8.736           0.238           0.000              -1.000 
 GB6J130603+552947 1.60020    249  18.240       9.244           0.056           9.082               0.068 
 GB6J130631+474149 2.53480     56  18.277      10.206           0.082          10.206               0.082 
 GB6J130714+135506 1.43420    101  19.024       8.941           0.136           0.000              -1.000 
 GB6J130820+030038 1.08350     48  18.873       9.210           0.072           0.000              -1.000 
 GB6J130850+473000 0.88420     47  18.883       9.127           0.106           0.000              -1.000 
 GB6J130909+555731 1.63080    423  17.718       9.321           0.088           9.703               0.048 
 GB6J130912+091132 2.96360     44  18.922       8.869           0.042           8.869               0.042 
 GB6J130942+404825 2.90980    131  19.105       8.952           0.059           8.952               0.059 
 GB6J131026+004421 1.60380    201  19.289       9.432           0.109           8.784               0.056 
 GB6J131029+322051 0.99730   1447  17.622       8.806           0.120           0.000              -1.000 
 GB6J131041+020126 1.82740     90  19.050       8.844           0.183           8.761               0.048 
 GB6J131058+323339 1.63500    870  18.811       9.736           0.334           8.917               0.137 
 GB6J131103+291058 1.77110     47  19.159       9.186           0.088           9.309               0.163 
 GB6J131103+551403 0.92450    487  19.173       8.688           0.656           0.000              -1.000 
 GB6J131107+141736 1.94710    401  19.666       8.929           0.253           8.929               0.253 
 GB6J131218+351522 0.18290     36  15.603       8.805           0.024           0.000              -1.000 
 GB6J131249+311254 1.05440     93  17.917       8.896           0.130           0.000              -1.000 
 GB6J131254+151539 1.42070     70  18.593       9.225           0.065           0.000              -1.000 
 GB6J131341+102716 2.91930    162  18.815       8.897           0.044           8.897               0.044 
 GB6J131406+072339 0.65940     46  18.696       8.799           0.045           0.000              -1.000 
 GB6J131529+281103 0.65560     34  19.156       8.617           0.636           0.000              -1.000 
 GB6J131729+060048 2.60950     38  19.125       9.087           0.493           9.087               0.493 
 GB6J131736+342514 1.05500    336  18.231       9.296           0.060           0.000              -1.000 
 GB6J131813+180657 2.08100    131  19.436       8.766           0.088           8.766               0.088 
 GB6J131907+621725 3.07380    144  19.186       8.750           0.042           8.750               0.042 
 GB6J131947+514759 1.05750    614  16.770       9.369           0.026           0.000              -1.000 
 GB6J132017+603537 0.84000     38  18.662       9.006           0.141           0.000              -1.000 
 GB6J132033+331204 0.92490     32  17.937       9.108           0.154           0.000              -1.000 
 GB6J132111+221553 0.94800    458  18.732       8.422           0.189           0.000              -1.000 
 GB6J132138+002333 1.61900    101  17.626       9.560           0.210           9.268               0.029 
 GB6J132211+214803 1.68480    182  18.802       8.943           0.282           8.650               0.033 
 GB6J132254+391208 2.98500    208  17.619       9.659           0.020           9.659               0.020 
 GB6J132324+251808 1.38780     32  17.826       9.246           0.053           0.000              -1.000 
 GB6J132356+250910 1.52720    102  17.699       9.567           0.125           9.635               0.201 
 GB6J132415+453937 0.90320     48  19.240       8.851           0.039           0.000              -1.000 
 GB6J132457+325200 1.74710     85  17.845       9.529           0.215           9.444               0.033 
 GB6J132512+112338 4.41190     62  19.411       9.455           0.071           9.455               0.071 
 GB6J132602+065732 3.00470     45  18.618       9.351           0.029           9.351               0.029 
 GB6J132612+285112 1.29650     34  17.846       9.397           0.086           0.000              -1.000 
 GB6J132701+221036 1.40340    647  18.694       9.243           0.674           0.000              -1.000 
 GB6J132702+031258 2.82720     80  18.967       9.066           0.160           9.066               0.160 
 GB6J132720+432629 2.08440    576  19.208       9.142           0.195           9.142               0.195 
 GB6J132725+500858 1.02580    274  19.320       9.457           0.054           0.000              -1.000 
 GB6J132735+240720 1.19940     42  17.854       9.253           0.145           0.000              -1.000 
 GB6J132804+502811 1.19250     57  18.454       8.904           0.178           0.000              -1.000 
 GB6J132839+622139 1.21800    116  18.758       8.428           0.585           0.000              -1.000 
 GB6J132840+415927 1.64160     31  19.293       9.381           0.092           8.837               0.137 
 GB6J132843+510307 3.40940     30  18.386       9.490           0.040           9.490               0.040 
 GB6J132900+105259 1.93330    112  18.866       9.194           0.044           9.194               0.044 
 GB6J133030+495431 2.86500    110  18.775       9.617           0.142           9.617               0.142 
 GB6J133054+135115 1.66360    118  20.283       8.990           0.107           8.790               0.185 
 GB6J133117+052129 1.77870     93  17.192       9.355           0.079           9.504               0.075 
 GB6J133215+202905 1.25800     30  19.955       9.405           0.076           0.000              -1.000 
 GB6J133230+170558 0.60960     66  19.157       8.104           0.467           0.000              -1.000 
 GB6J133245+472226 0.66920    333  17.436       8.568           0.140           0.000              -1.000 
 GB6J133254+020041 0.21580   1369  18.259       8.588           0.117           0.000              -1.000 
 GB6J133325+473008 2.62070     35  18.443       9.046           0.149           9.046               0.149 
 GB6J133335+164838 2.08850    615  16.116       9.791           0.022           9.791               0.022 
 GB6J133411+384638 1.71870     51  19.370       9.132           0.198           8.992               0.065 
 GB6J133422+304413 1.35490     76  18.047       9.254           0.043           0.000              -1.000 
 GB6J133436+563145 0.34290    107  18.445       8.094           0.075           0.000              -1.000 
 GB6J133451+312803 1.30930     34  17.840       9.534           0.032           0.000              -1.000 
 GB6J133506+540705 1.72510     38  18.240       9.490           0.075           9.614               0.096 
 GB6J133512+025311 1.85140    144  17.775       9.222           0.167           8.776               0.021 
 GB6J133522+454234 2.45220    651   0.000       8.793           0.015           8.793               0.015 
 GB6J133557+184605 1.41230     47  17.357       9.059           0.277           0.000              -1.000 
 GB6J133630+031441 1.30160    111  18.847       8.818           0.065           0.000              -1.000 
 GB6J133653+171049 1.23120     87  18.203       9.237           0.045           0.000              -1.000 
 GB6J133712+231128 1.28420     90  18.580       9.679           0.022           0.000              -1.000 
 GB6J133716+653247 0.94640    128  19.326       8.112           0.106           0.000              -1.000 
 GB6J133748+144046 1.49100     43  19.213       9.158           0.222           0.000              -1.000 
 GB6J133749+550109 1.09940    753  17.924       8.941           0.097           0.000              -1.000 
 GB6J133916+562357 1.42540     34  18.933       8.874           0.093           0.000              -1.000 
 GB6J133921+050148 1.35640     39   0.000       9.064           0.205           0.000              -1.000 
 GB6J133923+632854 2.55940    419  19.197       8.772           0.049           8.772               0.049 
 GB6J134023+375458 3.10610    260  18.443       9.016           0.027           9.016               0.027 
 GB6J134103+321430 2.15070     35  18.945       9.875           0.058           9.875               0.058 
 GB6J134133+353246 0.78240     73  18.465       9.171           0.080           0.000              -1.000 
 GB6J134205+370738 1.10240     32  16.731       9.818           0.040           0.000              -1.000 
 GB6J134209+270936 1.18980    347  17.720       9.392           0.023           0.000              -1.000 
 GB6J134222+511006 2.60290    129  19.379       8.437           0.775           8.437               0.775 
 GB6J134254+282804 1.03530    110  18.276       8.923           0.074           0.000              -1.000 
 GB6J134254+403208 0.90590    124  19.422       8.322           0.116           0.000              -1.000 
 GB6J134358+575455 0.93280    142  19.034       8.573           0.151           0.000              -1.000 
 GB6J134437+335540 1.48680    148  19.264       8.393           0.105           0.000              -1.000 
 GB6J134525+412505 0.91650     34  18.662       8.866           0.124           0.000              -1.000 
 GB6J134548+070623 1.09330    318  19.726       8.482           0.099           0.000              -1.000 
 GB6J134702+385033 1.66190    112  19.049       9.230           0.096           9.059               0.161 
 GB6J134723+183526 2.17740    441  19.063       9.106           0.066           9.106               0.066 
 GB6J134821+433538 1.11400     52  18.978       8.624           0.617           0.000              -1.000 
 GB6J134826+133609 1.64500     41  20.264       8.237           0.798           8.772               0.373 
 GB6J134934+534125 0.97870    644  17.422       9.427           0.064           0.000              -1.000 
 GB6J135015+381201 1.39630    119  17.977       9.587           0.040           0.000              -1.000 
 GB6J135026+241148 1.62870    154  18.994       8.871           0.102           8.588               0.034 
 GB6J135033+385905 1.59300     95  19.318       8.732           0.083           8.462               0.041 
 GB6J135045+233138 0.52860    141  18.099       8.777           0.056           0.000              -1.000 
 GB6J135052+303446 0.71220    302  17.846       8.693           0.078           0.000              -1.000 
 GB6J135118+083052 1.43980    451  17.577       9.590           0.022           0.000              -1.000 
 GB6J135142+024655 1.22070     87  18.747       8.871           0.101           0.000              -1.000 
 GB6J135148+341248 2.15270     45  19.280       8.576           0.038           8.576               0.038 
 GB6J135229+490814 0.39650    124  19.262       8.320           0.057           0.000              -1.000 
 GB6J135257+021533 2.57140     70  19.194       8.542           0.187           8.542               0.187 
 GB6J135304+044334 0.52340     95  18.134       9.407           0.041           0.000              -1.000 
 GB6J135340+604345 1.79800     97  18.554       9.579           0.058           9.637               0.034 
 GB6J135350+015154 1.60890    227  18.678       9.338           0.086           8.862               0.063 
 GB6J135358+632426 2.30160    214  20.820       9.133           0.088           9.133               0.088 
 GB6J135541+302431 1.02300    103  18.647       8.755           0.047           0.000              -1.000 
 GB6J135704+191919 0.71960   2618  16.086       9.128           0.188           0.000              -1.000 
 GB6J135725+001559 0.66170    132  18.217       8.699           0.144           0.000              -1.000 
 GB6J135748+441512 0.87360     60  17.517       9.296           0.094           0.000              -1.000 
 GB6J135821+321931 2.83420     35  18.992       8.625           0.070           8.625               0.070 
 GB6J135948+270834 1.83410    129  19.264       9.594           0.104           9.044               0.055 
 GB6J135957+210410 1.06430     48  18.811       9.061           0.065           0.000              -1.000 
 GB6J140045+180308 2.07800     32  18.431       9.486           0.060           9.486               0.060 
 GB6J140127+520818 2.97240     38  18.365       9.481           0.052           9.481               0.052 
 GB6J140132+415520 1.94510     48  19.828       8.786           0.160           8.786               0.160 
 GB6J140151+333959 1.63750     38  19.045       9.571           0.084           9.662               0.177 
 GB6J140214+581803 1.26730    118  17.687       9.473           0.053           0.000              -1.000 
 GB6J140409+530103 3.14700     36  19.733       9.482           0.097           9.482               0.097 
 GB6J140500+041544 3.21490   1008  19.297       8.938           0.051           8.938               0.051 
 GB6J140507+405655 1.99400    267  19.278       9.159           0.066           9.159               0.066 
 GB6J140510+445946 2.04050     38  19.189       8.973           0.049           8.973               0.049 
 GB6J140625+250920 0.86670    111  16.715       9.441           0.034           0.000              -1.000 
 GB6J140654+343328 2.56600    204  18.711       9.080           0.065           9.080               0.065 
 GB6J140700+282700 0.07660   2353  15.641       8.791           0.030           0.000              -1.000 
 GB6J140743+140616 2.17840     75  19.034       8.593           0.026           8.593               0.026 
 GB6J140810+104712 1.96990     60  17.548      10.200           0.059          10.200               0.059 
 GB6J140812+561327 2.02020    309  18.623       9.376           0.093           9.376               0.093 
 GB6J140850+650550 1.93830     43  17.186       9.031           0.017           9.031               0.017 
 GB6J141031+614138 2.24680    127  18.797       9.447           0.071           9.447               0.071 
 GB6J141107+003604 1.72520    205  18.453       9.512           0.030           9.522               0.073 
 GB6J141152+430022 3.19990    109  20.142       8.300           0.337           8.300               0.337 
 GB6J141155+341516 1.81820    147  18.357       8.878           0.211           8.789               0.117 
 GB6J141159+423952 0.88620     50  16.967       9.509           0.100           0.000              -1.000 
 GB6J141212+062408 4.46660     34  20.235       9.859           1.218           9.859               1.218 
 GB6J141239+484444 0.90640     74  18.605       9.185           0.061           0.000              -1.000 
 GB6J141303+325334 1.14580     48  18.760       9.177           0.148           0.000              -1.000 
 GB6J141307+474218 1.74150     55  19.052       9.194           0.064           8.818               0.058 
 GB6J141313+411711 2.61680     37  17.812       9.709           0.042           9.709               0.042 
 GB6J141319+450527 3.11260    150  19.280       9.095           0.095           9.095               0.095 
 GB6J141324+530532 0.45540    141  19.870       9.287           0.262           0.000              -1.000 
 GB6J141416+100827 1.78370     84  18.658       9.605           0.051           9.383               0.127 
 GB6J141418+211621 1.10840     64  19.140       8.922           0.100           0.000              -1.000 
 GB6J141528+370619 2.37360    381  17.623      10.006           0.087          10.006               0.087 
 GB6J141628+124226 0.33470     98  17.565       9.181           0.034           0.000              -1.000 
 GB6J141708+460659 1.55780    797  17.621       9.485           0.053           9.096               0.038 
 GB6J141741+381817 0.44950     95  18.488       8.432           0.100           0.000              -1.000 
 GB6J141747+092054 1.15730     53  17.380       9.229           0.038           0.000              -1.000 
 GB6J141905+055507 2.29350     72  19.194       9.289           0.052           9.289               0.052 
 GB6J141919+051115 0.78700     83  17.366       9.045           0.063           0.000              -1.000 
 GB6J141945+382201 1.83120    651  19.298       8.682           0.187           8.684               0.058 
 GB6J141958+270625 0.53820    415  18.523       9.016           0.128           0.000              -1.000 
 GB6J142001+372149 0.97000    188  18.827       8.953           0.081           0.000              -1.000 
 GB6J142009+175626 1.38390     35  18.857       9.471           0.160           0.000              -1.000 
 GB6J142020+462453 1.24430     34  19.415       9.685           0.081           0.000              -1.000 
 GB6J142037+471431 3.23250     45  19.386       8.840           0.066           8.840               0.066 
 GB6J142106+385537 0.48880    103  18.753       8.230           0.321           0.000              -1.000 
 GB6J142122+464551 1.66940    223  18.078       9.581           0.044           9.512               0.112 
 GB6J142125+394324 0.62140     57  18.736       8.937           0.043           0.000              -1.000 
 GB6J142229+322255 0.68140    357  19.202       8.604           0.071           0.000              -1.000 
 GB6J142241+041424 0.97190    122  17.213       9.116           0.086           0.000              -1.000 
 GB6J142250+070009 1.45050     45  17.785       9.423           0.079           0.000              -1.000 
 GB6J142312+505543 0.27580    232  17.625       7.570           1.760           0.000              -1.000 
 GB6J142330+120005 1.61270    571  17.876       9.464           0.134           8.738               0.029 
 GB6J142330+515007 1.68720    109  18.991       9.098           0.087           8.645               0.049 
 GB6J142349+031116 1.88460     57  18.742       9.048           0.140           9.358               0.030 
 GB6J142350+202938 0.93440     94  19.147       8.789           0.155           0.000              -1.000 
 GB6J142436+470555 1.72280    198  19.342       8.899           0.116           8.753               0.068 
 GB6J142513+441700 3.37960     35  20.346       9.513           0.164           9.513               0.164 
 GB6J142519+123925 1.51220    160  18.973       8.873           0.079           8.546               0.393 
 GB6J142629+130123 1.43180     56  19.101       9.269           0.095           0.000              -1.000 
 GB6J142631+025638 0.86110     87  18.686       9.107           0.053           0.000              -1.000 
 GB6J142822+563601 2.13520     88  19.201       9.240           0.283           9.240               0.283 
 GB6J142846+210402 1.45740    192  18.634       9.240           0.053           0.000              -1.000 
 GB6J142853+100140 1.49940     59  18.565       9.270           0.164           0.000              -1.000 
 GB6J142921+540613 3.00770    716  19.905       8.255           0.659           8.255               0.659 
 GB6J142931+525044 1.46760     56  19.963       8.966           0.151           0.000              -1.000 
 GB6J143009+104340 1.71020   1194  18.525       9.321           0.101           9.532               0.057 
 GB6J143027+251214 1.21850    132  18.627       8.728           0.186           0.000              -1.000 
 GB6J143041+364906 0.56600    283  19.286       9.223           0.368           0.000              -1.000 
 GB6J143120+395245 1.21520    259  16.202       9.961           0.036           0.000              -1.000 
 GB6J143126+244227 0.40660    147  17.443       8.678           0.021           0.000              -1.000 
 GB6J143126+441839 1.30550     70  19.081       8.870           0.055           0.000              -1.000 
 GB6J143322+452320 1.63580     46  19.118       9.029           0.068           9.283               0.105 
 GB6J143410+144853 0.83720     60  18.689       8.818           0.069           0.000              -1.000 
 GB6J143533+460353 2.14430     64  19.536       8.835           0.134           8.835               0.134 
 GB6J143533+543605 3.81140     86  20.054       8.822           0.185           8.822               0.185 
 GB6J143537+415359 0.57790     33  18.105       8.796           0.057           0.000              -1.000 
 GB6J143541+024228 2.18080     57  20.025       8.302           0.067           8.302               0.067 
 GB6J143556+172915 1.20270    529  17.848       9.022           0.075           0.000              -1.000 
 GB6J143641+232039 1.54760    764  18.903       8.447           0.557           8.775               0.271 
 GB6J143646+633645 2.06790    757  16.987       9.431           0.019           9.431               0.019 
 GB6J143701+050604 0.75830    107  19.257       8.737           0.044           0.000              -1.000 
 GB6J143708+040536 2.02500    127  18.188       8.862           0.031           8.862               0.031 
 GB6J143717+361901 1.10950     47  19.493       8.725           0.108           0.000              -1.000 
 GB6J143740+311907 1.35660    101  18.375       9.241           0.079           0.000              -1.000 
 GB6J143756+015639 1.18340     68  19.814       8.816           0.255           0.000              -1.000 
 GB6J143757+351931 0.53690     64  18.594       8.795           0.167           0.000              -1.000 
 GB6J143807+175804 2.03760     39  17.938       9.833           0.045           9.833               0.045 
 GB6J143828+441811 2.09730    265  19.298       9.187           0.157           9.187               0.157 
 GB6J143828+613046 0.99760     59  17.154       8.881           0.239           0.000              -1.000 
 GB6J143905+441015 1.38720    120  18.353       9.302           0.065           0.000              -1.000 
 GB6J143911+111749 2.58270    133  18.469       9.301           0.126           9.301               0.126 
 GB6J143911+245515 1.64310     44  18.381       9.445           0.054           8.932               0.035 
 GB6J143920+371148 1.02670     77  16.947       9.590           0.082           0.000              -1.000 
 GB6J143942+582801 0.42490     45  18.162       8.618           0.020           0.000              -1.000 
 GB6J143955+521038 1.64870     55  19.577       9.278           0.075           9.414               0.220 
 GB6J144001+610139 2.11370     50  17.722       9.658           0.050           9.658               0.050 
 GB6J144140+115436 0.52420     52  18.570       9.523           0.053           0.000              -1.000 
 GB6J144245+100808 1.00750     94  17.869       8.991           0.050           0.000              -1.000 
 GB6J144342+423403 1.16080     40  18.982       9.501           0.054           0.000              -1.000 
 GB6J144349+564553 2.75980     66  19.688       9.209           0.068           9.209               0.068 
 GB6J144357+633228 1.39800    442  17.103      10.216           0.042           0.000              -1.000 
 GB6J144450+113203 0.85040    209  18.696       8.852           0.062           0.000              -1.000 
 GB6J144452+360605 0.35200    139  19.379       9.386           0.106           0.000              -1.000 
 GB6J144635+172103 1.02360    677  18.615       8.687           0.113           0.000              -1.000 
 GB6J144642+142814 1.97140     34  18.220       9.273           0.040           9.273               0.040 
 GB6J144645+130909 0.72250     33  18.482       9.827           0.124           0.000              -1.000 
 GB6J144650+213148 1.39450    295  18.270       9.471           0.090           0.000              -1.000 
 GB6J144716+192033 1.30950    115  18.322       9.163           0.074           0.000              -1.000 
 GB6J144754+582435 2.97380     55  18.277       8.707           0.065           8.707               0.065 
 GB6J144837+341612 0.97050     50  18.787       9.133           0.033           0.000              -1.000 
 GB6J144856+433114 1.61600     33  18.861       8.791           0.237           8.523               0.081 
 GB6J144928+080127 0.65140     30  16.176       9.160           0.071           0.000              -1.000 
 GB6J145003+001638 0.95740     48  18.967       9.477           0.057           0.000              -1.000 
 GB6J145011+471049 0.71420     53  17.942       9.640           0.066           0.000              -1.000 
 GB6J145031+050808 1.63500     56  19.354       9.054           0.104           8.615               0.095 
 GB6J145102+114111 1.06710     38  18.209       9.602           0.057           0.000              -1.000 
 GB6J145122+251605 0.54540     34  19.121       8.538           0.086           0.000              -1.000 
 GB6J145215+080001 1.55420     63  18.344       9.913           0.020           9.612               0.123 
 GB6J145249+473509 1.15820     31  18.596       9.674           0.080           0.000              -1.000 
 GB6J145251+523957 2.33880     74  20.082       8.433           0.423           8.433               0.423 
 GB6J145300+103606 2.27780    111  19.313       9.264           0.074           9.264               0.074 
 GB6J145344+102600 1.76870    281  19.508       9.140           0.133           8.778               0.519 
 GB6J145359+091533 0.27900    133  18.617       8.138           0.133           0.000              -1.000 
 GB6J145425+162332 1.27630    397  18.517       8.320           0.265           0.000              -1.000 
 GB6J145553+443129 2.66960    192  19.451       9.255           0.063           9.255               0.063 
 GB6J145610+354853 1.60990     49  19.792       9.098           0.220           8.012               0.227 
 GB6J145721+051915 3.17550     77  19.030      10.023           0.077          10.023               0.077 
 GB6J145755+574445 2.12870     56  19.236       8.765           0.114           8.765               0.114 
 GB6J145859+041600 0.39150    615  18.143       8.560           0.226           0.000              -1.000 
 GB6J145904+164048 2.03220     63  18.027       9.774           0.121           9.774               0.121 
 GB6J145924+340131 2.78980     37  17.898       9.111           0.038           9.111               0.038 
 GB6J145957+333716 0.64480     48  16.710       8.850           0.029           0.000              -1.000 
 GB6J150124+561945 1.46700     99  18.678       8.870           0.081           0.000              -1.000 
 GB6J150204+604553 1.29690     38  19.129       9.127           0.041           0.000              -1.000 
 GB6J150224+101559 1.62900     34  19.077       9.405           0.075           9.069               0.077 
 GB6J150228+483717 3.21020     39  19.108       8.878           0.037           8.878               0.037 
 GB6J150321+162730 1.09250     31  18.074       9.005           0.184           0.000              -1.000 
 GB6J150328+041959 3.66440    147  18.085       9.055           0.050           9.055               0.050 
 GB6J150419+314216 1.19920     54  19.198       9.040           0.066           0.000              -1.000 
 GB6J150424+102943 1.83930   2325  18.216       9.643           0.442           9.422               0.099 
 GB6J150505+032628 0.40890    859  18.301       7.603           0.279           0.000              -1.000 
 GB6J150545+411721 1.52400     41  18.205       9.359           0.133           9.037               0.053 
 GB6J150606+435857 0.91980     93  19.250       8.581           0.072           0.000              -1.000 
 GB6J150711+511719 1.77190    144  20.615       9.418           0.183           8.522               0.258 
 GB6J150734+474045 1.54010     59  20.466       8.743           0.176           8.717               0.230 
 GB6J150759+041518 1.70060    240  18.215       9.800           0.073           9.557               0.152 
 GB6J150805+185232 1.82470    243  18.501       9.174           0.329           9.534               0.056 
 GB6J150824+334706 2.20740    115  18.346       9.026           0.109           9.026               0.109 
 GB6J150827+560404 0.97770     30  19.036       9.350           0.101           0.000              -1.000 
 GB6J150910+161116 1.14740    167  18.872       8.740           0.064           0.000              -1.000 
 GB6J150939+264245 1.03500     73  18.700       9.168           0.113           0.000              -1.000 
 GB6J151002+570256 4.30870    292  20.344       8.517           0.388           8.517               0.388 
 GB6J151152+522541 1.13340     32  17.078       9.273           0.091           0.000              -1.000 
 GB6J151300+352545 2.23450     32  18.861       9.267           0.236           9.267               0.236 
 GB6J151326+330456 0.95060     35  19.250       8.827           0.109           0.000              -1.000 
 GB6J151400+281322 1.55230     38  17.349      10.237           0.122           9.266               0.085 
 GB6J151420+293109 1.62920    118  19.378       9.209           0.040           9.297               0.050 
 GB6J151435+025238 0.82210    172  19.027       8.248           0.098           0.000              -1.000 
 GB6J151509+213326 2.24570     89  18.321       8.960           0.056           8.960               0.056 
 GB6J151526+593447 0.62260     79  20.573       8.737           0.188           0.000              -1.000 
 GB6J151532+491545 1.89440     30  19.143       9.905           0.140           9.167               0.100 
 GB6J151618+052445 1.71310    181  18.656       9.514           0.058           8.886               0.050 
 GB6J151700+253528 1.56110     83  19.410       8.996           0.488           0.000              -1.000 
 GB6J151738+361152 1.37240     80  18.666       9.301           0.068           0.000              -1.000 
 GB6J151839+500314 1.51460     80  19.140       9.007           0.130           8.903               0.196 
 GB6J151844+413146 1.53520     34  19.355       9.502           0.457           8.519               0.309 
 GB6J151910+363926 1.76370     32  19.251       9.308           0.196           0.000              -1.000 
 GB6J152021+025310 1.19850     33  19.100       8.913           0.740           0.000              -1.000 
 GB6J152036+160134 1.46690    108  17.566       9.659           0.075           0.000              -1.000 
 GB6J152044+073227 1.07750    100  17.711       9.273           0.086           0.000              -1.000 
 GB6J152044+473253 2.81100     86  18.528       8.964           0.047           8.964               0.047 
 GB6J152115+165408 1.37880    186  19.711       8.341           0.126           0.000              -1.000 
 GB6J152116+023839 1.49050     84  18.389       9.130           0.036           0.000              -1.000 
 GB6J152118+175605 3.05300    208  19.109       8.937           0.040           8.937               0.040 
 GB6J152141+051650 2.50260     67  18.884       9.088           0.420           9.088               0.420 
 GB6J152149+433636 2.17020    220  18.891       8.669           0.049           8.669               0.049 
 GB6J152209+135804 1.79790     39  17.131       9.279           0.186          10.088               0.076 
 GB6J152303+572201 1.73910     35  17.702       9.417           0.073           9.280               0.065 
 GB6J152334+154808 0.75340     47  18.979       8.630           0.073           0.000              -1.000 
 GB6J152442+152102 0.63030    350  18.200       8.471           0.252           0.000              -1.000 
 GB6J152501+110734 0.33250    286  18.899       9.015           0.261           0.000              -1.000 
 GB6J152505+530637 1.72540     57  19.106       9.134           0.105           9.513               0.130 
 GB6J152525+420115 1.19460    103  18.069       8.899           0.039           0.000              -1.000 
 GB6J152609+260106 1.58290     53  19.255       8.530           0.116           8.765               0.042 
 GB6J152641+163249 0.83080     68  19.231       8.448           0.227           0.000              -1.000 
 GB6J152645+095929 1.35880    316  18.405       8.892           0.091           0.000              -1.000 
 GB6J152718+311514 1.40130    555  18.834       9.227           0.077           0.000              -1.000 
