classname	gbflux	psfmagr	flag_class	z	RA	DEC	bii
GB6J125915+101633	56	19.937	1	3.004768	194.815478	10.277568	73.0487
GB6J125918+130329	42	19.559	0	0.000000	194.825864	13.057830	75.8097
GB6J125930+514106	313	20.002	1	1.620070	194.879894	51.682293	65.3987
GB6J125934+233031	51	18.713	0	0.000000	194.901123	23.513090	85.9412
GB6J125937+081702	112	23.218	0	0.000000	194.906759	8.287127	71.0594
GB6J125957+233645	31	19.579	1	3.125561	194.992089	23.612902	85.9913
GB6J130001+120607	178	20.834	0	0.000000	195.008083	12.106146	74.8432
GB6J130006+272923	35	19.523	0	0.000000	195.028833	27.493722	88.0380
GB6J130019+435241	86	19.644	0	0.000000	195.084014	43.873440	73.1589
GB6J130021+141658	320	18.705	1	1.106000	195.087161	14.288479	76.9932
GB6J130027+282959	192	17.042	1	0.649000	195.118861	28.502834	87.5745
GB6J130037+082808	180	17.528	1	1.083860	195.151835	8.467459	71.2135
GB6J130040+502947	442	21.538	1	1.561000	195.171876	50.493546	66.5682
GB6J130041+141651	97	22.499	1	0.835940	195.170989	14.291506	76.9835
GB6J130120+282132	68	18.793	1	1.370560	195.333853	28.360346	87.4873
GB6J130123+284252	35	20.502	1	0.419530	195.347228	28.714884	87.2891
GB6J130132+463357	155	18.756	1	0.205000	195.385852	46.567482	70.4586
GB6J130138+370246	45	20.940	0	0.000000	195.406709	37.053062	79.8445
GB6J130146+441612	47	18.636	6	0.000000	195.442987	44.272007	72.7308
GB6J130147+405607	33	18.095	6	0.652170	195.440211	40.940178	76.0254
GB6J130157+674147	30	23.450	0	0.000000	195.519576	67.694962	49.4012
GB6J130159+122013	37	19.624	4	0.000000	195.506373	12.342944	75.0078
GB6J130215+203911	145	19.955	0	0.000000	195.561032	20.655159	83.0724
GB6J130217+481926	218	17.963	1	0.874000	195.571661	48.321548	68.7019
GB6J130222+270911	68	19.357	1	3.426065	195.586353	27.161558	87.5732
GB6J130252+232245	60	19.113	1	3.187789	195.724196	23.388653	85.4510
GB6J130252+574835	601	19.522	1	1.088000	195.718589	57.810451	59.2516
GB6J130258+602550	30	20.149	0	0.000000	195.742235	60.429436	56.6408
GB6J130303+243331	95	19.423	6	0.000000	195.763393	24.565468	86.3399
GB6J130311+320700	32	20.451	0	0.000000	195.799484	32.127579	84.3860
GB6J130313+245435	37	19.283	1	3.325603	195.800629	24.901707	86.5442
GB6J130328+185325	50	19.536	0	0.000000	195.872583	18.889416	81.3080
GB6J130334+410439	36	19.347	1	0.274530	195.890880	41.083195	75.8237
GB6J130336+474828	50	19.694	4	0.896130	195.901494	47.811333	69.1807
GB6J130341+202208	76	19.649	0	0.000000	195.902209	20.384121	82.7044
GB6J130443+013232	52	20.137	1	2.286720	196.183405	1.541858	64.2157
GB6J130443+130411	33	19.229	1	2.581210	196.200242	13.071272	75.5996
GB6J130446+635345	105	20.239	1	2.082150	196.197367	63.896496	53.1682
GB6J130456+401303	33	22.157	0	0.000000	196.230941	40.217571	76.6163
GB6J130503+275227	49	19.767	1	0.873830	196.260424	27.872746	86.8928
GB6J130508+521426	33	22.992	0	0.000000	196.283627	52.239952	64.7573
GB6J130510+385820	32	20.800	4	0.485940	196.287389	38.975208	77.8123
GB6J130510+525314	66	20.672	0	0.000000	196.286803	52.888229	64.1137
GB6J130524+052528	42	20.153	1	0.665290	196.362577	5.413730	68.0305
GB6J130526+074259	58	18.989	1	1.023120	196.358357	7.716222	70.3065
GB6J130543+250355	53	22.322	0	0.000000	196.435146	25.068155	86.1851
GB6J130553+014907	106	17.539	1	0.733260	196.475701	1.824965	64.4603
GB6J130554+305013	37	20.551	0	0.000000	196.478663	30.836855	85.1245
GB6J130603+552947	249	18.240	1	1.601000	196.513953	55.495514	61.5093
GB6J130605+514449	51	19.650	4	0.277310	196.550675	51.735271	65.2361
GB6J130619+111346	261	17.099	4	0.085710	196.580186	11.227722	73.7191
GB6J130628+195856	83	18.855	4	0.168300	196.618280	19.978533	82.0648
GB6J130631+050220	51	20.460	0	0.000000	196.631742	5.041601	67.6225
GB6J130631+474149	56	18.277	1	2.523000	196.624789	47.692345	69.2260
GB6J130634+094436	84	21.562	0	0.000000	196.650453	9.743430	72.2508
GB6J130644+511654	39	20.917	1	1.491150	196.691108	51.281860	65.6727
GB6J130647+085147	46	20.188	0	0.000000	196.702967	8.860137	71.3737
GB6J130704+485920	41	20.605	1	1.209440	196.761503	48.987297	67.9335
GB6J130714+135506	101	19.024	1	1.430980	196.807909	13.922357	76.2893
GB6J130744+373642	38	22.731	0	0.000000	196.927929	37.615017	78.9679
GB6J130800+591544	78	21.130	4	0.647530	197.006779	59.258892	57.7412
GB6J130807+495741	199	19.500	1	1.246280	197.033014	49.964847	66.9403
GB6J130820+030038	48	18.873	1	1.080780	197.075315	3.012360	65.5490
GB6J130823+354649	461	20.006	1	1.055000	197.098789	35.776989	80.6284
GB6J130836+434405	47	16.350	4	0.034600	197.157941	43.737538	73.0319
GB6J130850+473000	47	18.883	1	0.884000	197.213888	47.498585	69.3459
GB6J130854+315031	57	21.597	0	0.000000	197.227206	31.839430	83.9474
GB6J130855+553051	94	22.290	0	0.000000	197.227163	55.513233	61.4391
GB6J130909+555731	423	17.718	1	1.629000	197.290635	55.960609	60.9912
GB6J130912+091132	44	18.922	1	2.965180	197.295971	9.194783	71.5830
GB6J130924+430502	45	16.976	6	0.000800	197.356353	43.084888	73.6315
GB6J130933+115428	1350	18.381	6	5.228790	197.391386	11.906823	74.1953
GB6J130939+472406	31	21.066	1	1.179150	197.415161	47.405357	69.4105
