classname	gbflux	psfmagr	flag_class	z	RA	DEC	bii	lii	a_v	psfmagr_corr
GB6J144349+564553	66	19.688	1	2.76495	220.942812	56.762756	54.2687	96.7109	0.07	19.630499540777322
GB6J144754+582435	55	18.277	1	2.97666	221.968532	58.405617	52.7282	98.0436	0.056	18.23099963262186
GB6J145031+091012	378	19.716	1	2.611	222.629871	9.174431	56.6521	6.0171	0.11	19.625642135507224
GB6J145300+103606	111	19.313	1	2.274	223.256192	10.604778	56.9775	8.8006	0.096	19.234142227351757
GB6J145553+443129	192	19.451	1	2.68712	223.975568	44.527126	59.6501	76.1175	0.095	19.37296366248351
GB6J145721+051915	77	19.03	1	3.177927	224.343882	5.322699	52.9387	2.5708	0.164	18.89528463839259
GB6J145738+373000	45	20.732	1	3.846185	224.414263	37.50095	61.553	62.2904	0.061	20.681892456963094
GB6J145936+444152	164	20.281	1	3.401	224.897747	44.702202	58.9793	75.9066	0.091	20.20624940301052
GB6J150328+041959	147	18.085	1	3.663614	225.870366	4.330273	51.1337	2.8972	0.203	17.91824866825424
GB6J150424+102943	2325	18.216	1	1.839	226.104083	10.494223	54.5805	11.3821	0.121	18.116606349057946
GB6J150759+041518	240	18.215	1	1.703	226.998883	4.25333	50.2113	3.9216	0.203	18.04824866825424
GB6J150805+185232	243	18.501	1	1.82633	227.021427	18.878681	57.6022	25.5286	0.141	18.385177646422896
GB6J150824+334706	115	18.346	1	2.209	227.098832	33.783546	59.8901	54.1521	0.073	18.286035235382066
GB6J151509+213326	89	18.321	1	2.24646	228.785849	21.562786	56.9119	31.2197	0.216	18.14357001154146
GB6J151618+052445	181	18.656	1	1.708	229.075041	5.409439	49.2732	7.2899	0.197	18.494177279044752
GB6J152044+473253	86	18.528	1	2.81074	230.181656	47.547016	54.5045	78.1175	0.114	18.434356394980213
GB6J152118+175605	208	19.109	1	3.057186	230.323262	17.933636	54.3408	26.0052	0.212	18.93485575206847
GB6J152141+051650	67	18.884	1	2.52753	230.43138	5.284772	48.107	8.3386	0.194	18.72464158444001
GB6J152149+433636	220	18.891	1	2.168	230.456729	43.610905	55.5964	71.5044	0.102	18.807213616561242
GB6J152642+665057	404	17.865	1	3.02	231.678629	66.848503	43.7797	102.9724	0.142	17.748356211291142
GB6J153324+070516	82	20.017	1	2.9573	233.353486	7.08093	46.7072	12.9429	0.219	19.8371057061462
GB6J153456+583920	119	18.242	1	1.904	233.738522	58.656525	47.686	92.5543	0.086	18.171356578669286
GB6J153515+483709	163	17.837	1	2.55852	233.81105	48.616581	51.8593	78.3774	0.072	17.77785667051382
GB6J153622+020204	53	19.28	1	2.99361	234.081159	2.033052	43.2491	7.6401	0.249	19.075462652193625
GB6J153753+085026	101	18.654	1	2.21775	234.473877	8.847745	46.6854	15.9849	0.169	18.515177462733824
GB6J153926+160406	336	19.214	1	2.53478	234.854579	16.066761	49.6232	25.897	0.155	19.08667755457836
GB6J153938+274433	212	18.277	1	2.196	234.913087	27.743969	52.8569	43.8782	0.155	18.14967755457836
GB6J154125+534827	248	18.925	1	2.55016	235.356088	53.803619	49.0692	85.4187	0.068	18.86914241104083
GB6J154503+513502	588	17.575	1	1.93	236.261759	51.583576	49.3814	81.9496	0.059	17.5265353272266
GB6J154534+200654	125	19.127	1	2.13247	236.393094	20.11125	49.6993	32.5421	0.228	18.939712789960424
GB6J154827+073819	81	19.289	1	2.88869	237.116361	7.636528	43.8176	16.3916	0.15	19.165784730237124
GB6J154912+035217	51	20.778	1	3.935194	237.311125	3.875489	41.6574	12.1901	0.364	20.478997612042082
GB6J154917+503810	731	18.526	1	2.172	237.322783	50.634941	49.0604	80.2443	0.067	18.47096384617258
GB6J154945+613415	121	19.043	1	2.2664	237.445207	61.569546	44.6489	94.9127	0.059	18.9945353272266
GB6J155538+110648	149	18.955	1	2.66362	238.91181	11.112124	43.9438	21.8017	0.209	18.783320057463722
GB6J155930+030444	414	20.006	1	3.89497	239.879065	3.080072	39.0774	13.1605	0.407	19.671675901376727
GB6J155948+080524	114	17.404	1	2.17745	239.95717	8.088202	41.6047	18.8365	0.191	17.24710588983527
GB6J160017+183828	154	18.773	1	2.40154	240.070782	18.64168	45.9391	32.1893	0.171	18.63253459247032
GB6J160103+170658	83	19.69	1	2.61424	240.267191	17.116825	45.2226	30.2476	0.18	19.542141676284547
GB6J160154+135703	365	18.377	1	2.23654	240.477219	13.952977	43.8017	26.2725	0.228	18.189712789960424
GB6J160214+241832	214	17.887	1	1.79073	240.55767	24.310511	47.1889	40.2626	0.296	17.643855201001255
GB6J160357+573101	365	17.333	1	2.85	240.983048	57.515118	44.7253	88.6785	0.103	17.24839218142949
GB6J160524+303836	75	19.399	1	2.68555	241.348743	30.643665	47.7221	49.659	0.14	19.28399908155465
GB6J160820+561407	236	18.217	1	1.94923	242.086458	56.232326	44.5969	86.6939	0.056	18.170999632621857
GB6J161004+181156	131	18.274	1	3.121883	242.521992	18.195398	43.6029	32.7351	0.201	18.108891538517746
GB6J161252+275841	60	19.806	1	3.544254	243.22257	27.978504	45.6682	46.2222	0.207	19.63596292772723
GB6J161428+174216	72	19.84	1	2.81191	243.623228	17.702478	42.4487	32.6106	0.222	19.657641400750943
GB6J161446+253622	90	18.888	1	2.44616	243.686886	25.606037	44.7506	43.0611	0.236	18.69414130890641
GB6J161526+431255	129	19.795	1	3.144572	243.861065	43.216194	46.0874	68.1835	0.053	19.751463938017118
GB6J161630+142910	58	20.038	1	2.98218	244.130058	14.48139	40.7794	28.8681	0.199	19.87453440878125
GB6J161638+045924	916	19.256	1	3.217	244.156494	4.992423	36.4459	18.0508	0.291	19.016962376660018
GB6J161656+362145	286	18.495	1	2.265	244.231596	36.359585	45.8688	58.3071	0.06	18.44571389209485
GB6J161904+061257	971	19.059	1	2.096	244.765377	6.217284	36.5293	19.7474	0.236	18.86514130890641
GB6J161941+525617	128	16.744	1	2.347	244.926624	52.937058	43.9158	81.6399	0.084	16.674999448932788
GB6J162030+490149	442	18.492	1	1.513	245.1301	49.03146	44.5371	76.255	0.058	18.444356762358357
GB6J162308+390946	244	16.842	1	1.975	245.781755	39.159004	44.7486	62.3503	0.042	16.807499724466393
GB6J163355+153446	99	19.587	1	2.43584	248.477382	15.583349	37.3443	32.2872	0.273	19.362748209031565
GB6J163412+320339	248	17.458	1	2.33355	248.553285	32.059845	41.8474	52.9177	0.097	17.378320792220006
GB6J163515+380813	3221	17.645	1	1.814	248.814554	38.134583	42.3363	61.0856	0.055	17.599821067753613
GB6J163731+195037	120	18.966	1	1.95697	249.380665	19.840063	38.0653	37.7009	0.321	18.702319322707446
GB6J164124+225714	446	18.936	1	2.063	250.355129	22.951134	38.1845	41.8179	0.224	18.751998530487437
GB6J164148+334515	67	19.03	1	2.75029	250.450344	33.753372	40.5376	55.4702	0.084	18.96099944893279
GB6J164157+511603	114	18.62	1	2.61507	250.482245	51.263023	40.8361	78.6256	0.096	18.54114222735176
GB6J164239+252316	515	18.295	1	1.725	250.668383	25.385475	38.5969	44.9006	0.21	18.122498622331975
GB6J164327+410359	38	20.11	1	3.86384	250.859327	41.062073	40.9293	65.116	0.05	20.068928243412373
GB6J165543+194846	169	19.849	1	3.261374	253.931523	19.813088	34.0258	39.4554	0.348	19.563140574150125
GB6J165634+182624	349	20.091	1	2.551	254.142036	18.440653	33.3607	37.9928	0.366	19.790354741778582
GB6J165801+344330	474	17.988	1	1.939	254.50593	34.724564	37.3823	57.3896	0.082	17.920642319196293
GB6J165802+473749	1244	17.753	1	1.61	254.511595	47.630348	38.4383	73.7141	0.088	17.68071370840578
GB6J165913+171418	142	18.903	1	2.01146	254.807711	17.237522	32.3342	36.9313	0.351	18.614676268754867
GB6J170732+112206	117	19.751	1	2.406	256.885328	11.366872	28.1646	31.6074	0.321	19.487319322707446
GB6J172241+610604	245	19.13	1	2.058	260.666914	61.099945	34.1707	90.1904	0.13	19.023213432872172
GB6J172253+245836	378	18.114	1	2.25242	260.720787	24.976292	29.7727	47.6157	0.305	17.863462284815483
GB6J173928+495502	428	18.162	1	1.545	264.864149	49.917606	31.7301	76.8768	0.135	18.05110625721341
GB6J174006+450700	192	17.917	1	2.788	265.026541	45.113995	31.0248	71.3092	0.138	17.803641951818154
GB6J174048+434825	196	19.198	1	2.246	265.203981	43.804489	30.693	69.8262	0.151	19.073963295105372
GB6J174614+622700	589	19.01	1	3.889	266.558475	62.448532	31.3201	91.6211	0.166	18.873641768129083
GB6J175602+574859	463	18.5	1	2.11	269.015093	57.813328	29.9567	86.2797	0.212	18.325855752068467
GB6J180024+384834	735	17.539	1	2.092	270.103168	38.808525	26.034	65.1703	0.147	17.418249035632382
GB6J205332+010307	58	19.788	1	3.59	313.382206	1.061716	-26.3263	48.9977	0.471	19.401104052944568
GB6J210627+023120	131	18.941	1	2.942	316.617307	2.52717	-28.2921	52.3249	0.42	18.595997244663945
GB6J212026+044746	66	19.611	1	3.15171	320.111389	4.802131	-29.9118	56.7148	0.494	19.20521104491426
GB6J212344+053534	2784	17.443	1	1.941	320.935478	5.589471	-30.1218	58.0057	0.377	17.133318955329305
GB6J213638+004149	10938	16.837	1	1.941	324.160767	0.698388	-35.5778	55.4729	0.266	16.61849825495383
GB6J213729+045109	143	19.863	1	2.3711	324.375115	4.856155	-33.3114	59.7087	0.265	19.645319690085582
GB6J214755+083010	351	18.477	1	2.60149	326.980076	8.503296	-33.0486	65.0425	0.267	18.25767681982208
GB6J215304+124102	290	19.47	1	2.218	328.269396	12.684779	-31.2121	69.7248	0.415	19.129104420322705
GB6J215633+194734	77	18.485	1	2.46716	329.139748	19.793247	-26.7958	76.1688	0.381	18.17203321480229
GB6J215941+062832	68	19.394	1	2.72006	329.926443	6.476525	-36.585	65.4885	0.266	19.17549825495383
GB6J221747+022011	513	20.516	1	3.572	334.450979	2.3363	-42.7054	65.2896	0.234	20.32378417916991
GB6J221811+152042	183	18.636	1	2.335	334.545479	15.34325	-33.5569	77.0881	0.257	18.424891171139603
GB6J221931+022955	124	18.708	1	2.21765	334.878302	2.495964	-42.9201	65.8377	0.26	18.494426865744344
GB6J222307+145355	106	18.554	1	2.77503	335.779438	14.899891	-34.6741	77.8205	0.229	18.365891354828673
GB6J222537+211817	1024	17.819	1	1.959	336.408548	21.301796	-30.0873	83.1597	0.217	17.640748576409703
GB6J223307+161714	52	20.06	1	3.351302	338.287096	16.281153	-35.1418	81.1652	0.343	19.778247749808887
GB6J223927+225959	78	18.293	1	2.9317	339.865379	23.005022	-30.5898	87.3211	0.228	18.105712789960425
GB6J224150+095356	675	18.619	1	1.707	340.457153	9.897899	-41.4418	78.1676	0.327	18.35039071191693
GB6J224352+190443	47	20.216	1	3.450816	340.972023	19.078758	-34.4109	85.694	0.316	19.956426498366206
GB6J224434+260014	263	18.684	1	2.042	341.14646	26.005758	-28.7193	90.3361	0.326	18.416212147048682
GB6J225153+221724	179	19.552	1	3.668	342.972908	22.293694	-32.75	89.69	0.312	19.295712238893216
GB6J225717+024311	503	17.901	1	2.081	344.323168	2.721544	-49.4057	75.766	0.325	17.634033582180432
GB6J225858+020340	301	18.768	1	2.668	344.74062	2.061748	-50.1775	75.586	0.329	18.497747841653425
GB6J231104+342504	994	18.336	1	1.817	347.772217	34.419689	-24.0269	100.4158	0.4	18.007425947298994
GB6J231454+322439	115	19.17	1	2.83961	348.73023	32.412304	-26.1857	100.3143	0.344	18.88742631467714
GB6J232228+184325	322	18.324	1	1.728	350.61902	18.723587	-39.3317	95.3229	0.186	18.171213065494033
GB6J232235+081205	857	18.307	1	2.09	350.650349	8.200444	-48.6334	88.4532	0.308	18.053997979420224
GB6J232733+094009	643	17.891	1	1.843	351.889915	9.669297	-47.9578	91.1425	0.223	17.707819965619187
GB6J233013+334832	442	19.017	1	1.809	352.557249	33.810116	-26.0918	104.2081	0.451	18.646532755579617
GB6J233620+064045	135	19.836	1	2.90866	354.086981	6.680824	-51.6167	91.9506	0.38	19.523854649934044
GB6J235829+043017	325	19.126	1	2.298	359.620199	4.506898	-55.876	98.917	0.216	18.94857001154146
GB6J001115+144608	31	19.624	1	4.96432	2.813483	14.767168	-46.9846	108.6169	0.242	19.425212698115892
GB6J083548+182519	40	21.179	1	4.41266	128.955946	18.422237	31.0329	206.839	0.141	21.063177646422893
GB6J083945+511206	51	19.374	1	4.40259	129.942584	51.20079	37.5363	167.6437	0.175	19.23024885194331
GB6J091825+063722	36	19.863	1	4.21704	139.601583	6.614841	35.5482	224.8799	0.163	19.72910607352434
GB6J102107+220904	108	21.21	1	4.26212	155.281577	22.155989	55.611	212.836	0.095	21.13196366248351
GB6J102623+254255	142	21.946	1	5.27746	156.59842	25.716501	57.6084	207.0471	0.079	21.881106624591553
GB6J132512+112338	62	19.411	1	4.41771	201.302061	11.39162	72.376	331.3155	0.105	19.324749311165988
GB6J134811+193520	38	20.727	1	4.4041	207.046924	19.589865	74.9683	5.8468	0.098	20.646499357088253
GB6J141212+062408	34	20.235	1	4.4674	213.041539	6.401902	61.7604	349.3682	0.11	20.144642135507222
GB6J143023+420450	337	20.995	1	4.715	217.59892	42.076805	64.8945	75.8678	0.058	20.947356762358357
GB6J151002+570256	292	20.344	1	4.31324	227.512193	57.04538	51.3402	93.2536	0.078	20.279928059723304
GB6J153533+025419	53	20.588	1	4.387191	233.891173	2.906498	43.917	8.4602	0.213	20.413034316936717
GB6J162956+095959	33	21.97	1	5.0	247.48867	10.006531	35.9145	25.4619	0.283	21.737533857714038
GB6J171103+383016	36	20.525	1	4.0	257.773075	38.501206	35.392	62.5385	0.221	20.343462835882693
GB6J235758+140205	78	20.434	1	4.35152	359.494	14.033854	-46.8416	103.7932	0.191	20.277105889835273
GB6J012202+030951	96	20.827	1	4.0	20.507961	3.167342	-58.8181	137.8047	0.161	20.694748943787847
GB6J231449+020146	84	19.589	1	4.11	348.702965	2.030853	-52.6916	80.4969	0.267	19.36967681982208
GB6J164856+460341	36	20.31	1	5.36	0.0	0.0	0.0	0.0	0.0	
GB6J090631+693027	114	20.54	1	5.47	0.0	0.0	0.0	0.0	0.0	
