classname	gbflux	psfmagr	flag_class	z	RA	DEC	bii	lii	a_v	psfmagr_corr
GB6J080244+525546	120	19.524	1	2.01427	120.683298	52.928902	31.8731	165.4454	0.204	19.35642723312249
GB6J080306+203816	75	19.958	1	2.67076	120.777798	20.641478	24.6442	201.3518	0.195	19.797820149308258
GB6J080634+450439	424	19.621	1	2.102	121.639466	45.075634	31.6809	174.7127	0.228	19.433712789960424
GB6J080711+131741	36	20.143	1	3.716772	121.794791	13.294296	22.7008	209.1622	0.142	20.026356211291144
GB6J081025+101050	141	17.539	1	2.50168	122.610097	10.178056	22.123	212.5854	0.136	17.42728482208166
GB6J081303+254215	393	18.804	1	2.024	123.266001	25.703079	28.5145	196.8958	0.208	18.633141492595477
GB6J081710+235225	147	18.96	1	1.73086	124.293952	23.87332	28.8131	199.2119	0.256	18.74971260627136
GB6J082106+310756	161	17.062	1	2.605478	125.281735	31.130884	31.7574	191.4602	0.181	16.913320241152796
GB6J082154+285746	209	19.984	1	2.79693	125.475282	28.960991	31.3485	193.9687	0.147	19.863249035632382
GB6J082329+061148	70	17.848	1	2.79583	125.869245	6.196146	23.2704	217.9992	0.119	17.75024921932145
GB6J082341+292842	480	18.816	1	2.368	125.921373	29.474491	31.8618	193.5111	0.168	18.677998897865578
GB6J082427+234112	87	18.763	1	2.60745	126.116767	23.685558	30.3312	200.0355	0.192	18.60528445470352
GB6J082706+105220	167	18.947	1	2.28228	126.777134	10.873376	26.127	213.8038	0.191	18.79010588983527
GB6J083031+052002	127	18.372	1	2.21848	127.633066	5.335221	24.4387	219.7127	0.138	18.258641951818152
GB6J083249+155413	274	18.358	1	2.42421	128.205829	15.902392	29.4297	209.2373	0.19	18.201927324967023
GB6J083313+112400	294	18.323	1	2.98121	128.309855	11.393403	27.71	213.9854	0.154	18.196498989710115
GB6J083322+095956	93	18.816	1	3.712844	128.343744	9.994786	27.146	215.4279	0.242	18.617212698115893
GB6J083720+582514	717	17.861	1	2.101	129.343371	58.417179	36.6059	158.6608	0.266	17.642498254953832
GB6J083852+115119	82	19.407	1	2.29555	129.719295	11.855807	29.1574	214.1639	0.207	19.23696292772723
GB6J083910+200201	107	19.816	1	3.033858	129.795413	20.035372	32.3427	205.3926	0.138	19.70264195181815
GB6J083956+025204	60	20.539	1	3.679225	129.980779	2.862639	25.3402	223.333	0.17	20.399356027602074
GB6J084137+102946	56	19.478	1	2.83266	130.401578	10.495755	29.1902	215.8996	0.27	19.256212514426824
GB6J084224+205600	39	19.421	1	3.586036	130.599203	20.928696	33.3534	204.695	0.161	19.288748943787844
GB6J084715+383105	136	18.409	1	3.180576	131.813207	38.519436	38.3944	183.7993	0.148	18.287427600500628
GB6J084825+200022	69	20.324	1	3.417766	132.104344	20.003273	34.371	206.3149	0.129	20.218034868003926
GB6J085258+225108	38	20.222	1	3.544636	133.245306	22.847353	36.2923	203.4332	0.163	20.08810607352434
GB6J085625+102031	68	18.998	1	3.700729	134.103842	10.338064	32.4093	217.8898	0.198	18.835355843913003
GB6J085658+211132	349	19.477	1	2.098	134.23851	21.195456	36.6502	205.7425	0.139	19.3628205166864
GB6J090021+410836	208	18.421	1	1.629	135.089307	41.139721	41.1058	180.655	0.097	18.341320792220007
GB6J090443+233342	99	17.3	1	2.25923	136.184735	23.565023	39.0852	203.5761	0.187	17.14639163036228
GB6J090528+485051	553	17.51	1	2.68756	136.364422	48.84721	41.8079	170.3372	0.097	17.43032079222001
GB6J090535+355544	55	18.393	1	2.82406	136.400299	35.931	41.7404	187.6857	0.118	18.296070654453203
GB6J090549+041022	114	19.161	1	3.147471	136.454401	4.169493	31.621	225.6127	0.168	19.02299889786558
GB6J090602+314234	39	18.743	1	3.541811	136.511021	31.71545	41.2423	193.2765	0.094	18.665785097615263
GB6J090912+083603	260	17.737	1	1.75461	137.300663	8.594758	34.4603	221.44	0.265	17.51931969008558
GB6J090915+035443	111	19.92	1	3.28757	137.316284	3.911875	32.2408	226.3776	0.155	19.79267755457836
GB6J090946+475259	160	19.816	1	2.62622	137.42765	47.893852	42.6004	171.5292	0.08	19.7502851894598
GB6J091134+195807	284	17.843	1	1.63475	137.889419	19.970585	39.485	208.6247	0.193	17.684463019571766
GB6J091251+442208	164	18.189	1	1.72453	138.213029	44.367954	43.3919	176.2863	0.072	18.12985667051382
GB6J092035+002314	84	18.477	1	2.48473	140.149169	0.391857	32.8405	231.6888	0.145	18.357891905895887
GB6J092058+444144	1085	17.907	1	2.19	140.243583	44.69833	44.8156	175.7003	0.076	17.84457092998681
GB6J092141+532046	56	19.638	1	2.79796	140.418334	53.343716	43.6059	163.7451	0.086	19.567356578669287
GB6J092157+660437	155	18.864	1	1.64411	140.490732	66.077286	39.5808	147.5566	0.346	18.579783444413632
GB6J092445+451200	133	19.861	1	3.430915	141.187463	45.199421	45.4361	174.9082	0.074	19.800213800250315
GB6J092507+001900	810	17.214	1	1.72	141.282563	0.320536	33.7548	232.4948	0.149	17.091606165368873
GB6J092550+165813	190	16.997	1	1.545	141.458187	16.970057	41.6167	213.8764	0.179	16.8499631114163
GB6J092823+444558	225	18.313	1	1.904	142.100573	44.768002	46.1228	175.4285	0.097	18.233320792220006
GB6J093035+464408	202	18.612	1	2.032	142.646184	46.735737	46.2517	172.5393	0.076	18.549570929986807
GB6J093239+104304	81	18.523	1	2.92679	143.159866	10.724018	40.5745	222.3407	0.163	18.38910607352434
GB6J093415+490815	527	19.097	1	2.582	143.565688	49.139366	46.4352	168.9546	0.079	19.032106624591552
GB6J093523+240508	184	19.934	1	2.75095	143.84697	24.086758	45.9727	205.4761	0.127	19.82967773826743
GB6J093531+363307	241	18.401	1	2.85458	143.882675	36.554874	47.8019	187.3866	0.061	18.350892456963095
GB6J094114+114536	123	19.264	1	3.19389	145.306492	11.758981	42.9205	222.3566	0.137	19.151463386949906
GB6J094334+463342	50	20.395	1	3.202658	145.891657	46.558933	48.4772	172.2371	0.052	20.35228537314887
GB6J094557+601240	77	18.879	1	2.52551	146.483545	60.209141	44.4906	153.2075	0.102	18.795213616561245
GB6J094745+111348	207	18.701	1	1.77402	146.94108	11.231667	44.1155	223.9976	0.134	18.590927692345165
GB6J095034+274319	90	19.024	1	2.35997	147.640085	27.724987	50.0911	201.2658	0.081	18.957463754328046
GB6J095328+322552	184	17.351	1	1.57	148.366485	32.430981	51.2958	194.0126	0.061	17.300892456963094
GB6J095551+500137	96	18.264	1	2.11624	148.967714	50.025452	49.595	166.3375	0.047	18.22539254880763
GB6J095617+373246	44	20.392	1	3.245218	149.071412	37.540226	51.9325	185.7914	0.069	20.335320975909077
GB6J095647+095414	126	18.843	1	1.97835	149.195638	9.908276	45.4534	227.1082	0.184	18.691855935757538
GB6J095707+235617	79	17.926	1	2.7824	149.280696	23.940333	50.7414	207.561	0.153	17.800320424841864
GB6J095819+472514	1005	18.482	1	1.882	149.581962	47.418839	50.7303	170.0551	0.054	18.437642502885364
GB6J095858+294759	108	19.026	1	2.07034	149.745612	29.801161	52.2222	198.4236	0.082	18.958642319196294
GB6J100157+101552	301	18.227	1	1.533	150.490551	10.263805	46.7414	227.5475	0.161	18.094748943787845
GB6J100724+580201	135	17.402	1	3.76802	151.853671	58.034298	47.9368	154.1632	0.052	17.35928537314887
GB6J100741+135623	841	18.446	1	2.715	151.922908	13.941556	49.675	223.6089	0.191	18.289105889835273
GB6J101109+423943	47	18.251	1	3.562233	152.794848	42.660313	54.0849	176.7283	0.076	18.18857092998681
GB6J101211+330936	131	17.952	1	2.2543	153.047719	33.157337	55.258	193.0788	0.08	17.8862851894598
