classname         gbflux psfmagr flag_class        z                RA               DEC      bii       lii    a_v
GB6J003505+180842     52  18.627          1 2.464300          8.771881         18.147947 -44.5506  117.4779  0.249
GB6J003511+010418     64  20.373          1 2.259900          8.803782          1.075183 -61.5276  114.4021  0.122
GB6J003511+013348     77  20.303          0 0.000000          8.794100          1.562552 -61.0432  114.5152  0.117
GB6J003534+314335     31  21.303          0 0.000000          8.888999         31.736076 -31.0141  118.9920  0.316
GB6J003544+143803    328  19.367          1 2.447860          8.933706         14.633875 -48.0644  117.2435  0.248
GB6J003551+152651     54  18.725          1 1.117180          8.964586         15.447590 -47.2567  117.3965  0.248
GB6J003553+100204     39  21.823          0 0.000000          8.972769         10.036553 -52.6445  116.6165  0.350
GB6J003609+353821     47  19.608          0 0.000000          9.042952         35.637150 -27.1313  119.4472  0.312
GB6J003622+034107     35  21.813          1 1.586650          9.094562          3.686812 -58.9712  115.6289  0.128
GB6J003634+143402    203  22.340          0 0.000000          9.146291         14.567665 -48.1486  117.5416  0.259
GB6J003647+331612     36  19.122          0 0.000000          9.195324         33.268433 -29.5031  119.4122  0.390
GB6J003653+123454     37  21.981          0 0.000000          9.225878         12.581660 -50.1338  117.3947  0.317
GB6J003659+183202    126  20.762          0 0.000000          9.247556         18.534361 -44.2033  118.1526  0.233
GB6J003659+295849     88  19.570          0 0.000000          9.249262         29.982384 -32.7850  119.2123  0.269
GB6J003719+261313    114  17.675          4 0.147690          9.329814         26.220064 -36.5436  118.9902  0.219
GB6J003723+214206    128  21.463          6 0.598000          9.348098         21.698114 -41.0556  118.6041  0.162
GB6J003726+110937    462  20.972          0 0.000000          9.358508         11.164132 -51.5572  117.4026  0.341
GB6J003745+020011     60  21.592          4 0.673770          9.441198          2.003316 -60.6828  115.9422  0.103
GB6J003748+162525    165  18.746          0 0.000000          9.453878         16.421482 -46.3251  118.1991  0.184
GB6J003759+160629     77  20.601          1 3.344654          9.500844         16.110813 -46.6383  118.2300  0.203
GB6J003818+122737    665  17.430          0 0.000000          9.575074         12.458670 -50.2849  117.9094  0.327
GB6J003823+413706   1144  20.332          1 1.353000          9.603518         41.618336 -21.1874  120.3219  0.457
GB6J003826+171320     38  19.442          0 0.000000          9.608212         17.219459 -45.5402  118.4962  0.187
GB6J003828+185620     83  19.538          1 1.193000          9.620394         18.938251 -43.8266  118.6837  0.202
GB6J003831+293154     35  22.625          0 0.000000          9.630773         29.539164 -33.2483  119.5731  0.263
GB6J003839+234443     56  19.746          0 0.000000          9.661838         23.742498 -39.0356  119.1631  0.158
GB6J003918+031940    637  16.234          0 0.000000          9.827429          3.331256 -59.4002  116.9779  0.131
GB6J003922+160531    130  19.157          1 0.709910          9.844454         16.089691 -46.6831  118.7075  0.205
GB6J003940+141200    422  24.802          6 1.738000          9.915083         14.199312 -48.5737  118.6159  0.305
GB6J004012+075829     31  20.528          1 2.599330         10.053583          7.970056 -54.7965  118.1081  0.254
GB6J004012+222816     36  21.743          0 0.000000         10.050769         22.465332 -40.3321  119.5266  0.179
GB6J004013+012553    188  18.612          0 0.000000         10.056355          1.429523 -61.3149  117.0864  0.097
GB6J004018+094220    219  19.285          0 0.000000         10.076270          9.711602 -53.0614  118.3642  0.351
GB6J004030+270841     33  19.831          1 2.456830         10.129614         27.135281 -35.6731  119.9413  0.258
GB6J004049+195336     30  18.371          0 0.000000         10.205407         19.889988 -42.9115  119.5237  0.182
GB6J004112+073653    105  20.480          1 3.024291         10.301372          7.614149 -55.1693  118.4898  0.240
GB6J004115+321114    278  20.700          0 0.000000         10.316402         32.185436 -30.6369  120.4307  0.351
GB6J004115+341031     31  18.078          0 0.000000         10.311506         34.169804 -28.6544  120.5298  0.376
GB6J004118+133936    163  22.971          0 0.000000         10.321715         13.657635 -49.1398  119.1612  0.318
GB6J004129+225533     66  18.838          0 0.000000         10.372146         22.925697 -39.8884  119.9461  0.176
GB6J004154+245829    117  19.007          0 0.000000         10.481186         24.978199 -37.8431  120.2018  0.193
GB6J004155+215448     33  21.904          4 0.648340         10.489915         21.906414 -40.9118  120.0226  0.180
GB6J004205+231952   1604  20.646          1 1.426000         10.518953         23.333656 -39.4875  120.1471  0.180
GB6J004210+132704     38  21.825          0 0.000000         10.548731         13.456052 -49.3538  119.4810  0.327
GB6J004214+150923    142  20.691          1 1.159000         10.556660         15.154277 -47.6584  119.6312  0.305
GB6J004244+100959    250  22.182          1 1.657000         10.684881         10.163658 -52.6485  119.4027  0.345
GB6J004248+161022     50  19.255          1 1.456280         10.695737         16.173056 -46.6478  119.9043  0.210
GB6J004304+205730    132  18.581          4 0.140610         10.764667         20.956947 -41.8721  120.3047  0.163
GB6J004311+165312     35  19.261          0 0.000000         10.804340         16.888523 -45.9381  120.1038  0.220
GB6J004312+344648     39  22.469          0 0.000000         10.808948         34.768837 -28.0725  121.0231  0.319
GB6J004330+002502     95  19.263          1 1.128000         10.886297          0.416616 -62.3898  118.6717  0.088
GB6J004333+222329     90  19.217          0 0.000000         10.890454         22.396263 -40.4389  120.5399  0.189
GB6J004348+342617     58  19.915          1 0.966000         10.953524         34.440590 -28.4047  121.1451  0.342
GB6J004352+242410     30  17.776          5 0.083000         10.967390         24.405983 -38.4335  120.7323  0.203
GB6J004357+283845     31  19.551          0 0.000000         10.999479         28.650589 -34.1927  120.9587  0.266
GB6J004403+332357     32  17.477          0 0.000000         11.018066         33.396633 -29.4499  121.1666  0.365
GB6J004404+010205    152  18.158          4 0.111730         11.019452          1.031355 -61.7847  119.0387  0.094
GB6J004408+142653     83  22.002          0 0.000000         11.035370         14.448463 -48.3856  120.2718  0.348
GB6J004415+111854     41  21.688          4 0.533570         11.062442         11.318475 -51.5138  120.1000  0.287
GB6J004421+285824     55  22.336          0 0.000000         11.089808         28.976070 -33.8700  121.0675  0.266
GB6J004430+060232     40  21.344          0 0.000000         11.103822          6.050522 -56.7778  119.7445  0.181
GB6J004434+013448     47  21.534          1 0.839110         11.141270          1.580399 -61.2437  119.3602  0.102
GB6J004435+391956     68  22.122          0 0.000000         11.156422         39.329968 -23.5228  121.4954  0.281
GB6J004441+185541    149  21.208          0 0.000000         11.175960         18.918068 -43.9248  120.7207  0.191
GB6J004441+383009     66  20.176          0 0.000000         11.173441         38.499447 -24.3533  121.4837  0.281
GB6J004511+321838     52  21.700          0 0.000000         11.296393         32.309116 -30.5440  121.3981  0.364
GB6J004518+212745     49  16.800          6 0.000000         11.330420         21.461126 -41.3881  121.0352  0.166
GB6J004543+243805     41  20.876          1 0.529130         11.430919         24.633572 -38.2198  121.2792  0.215
GB6J004544+121706     62  17.552          6 0.000000         11.430590         12.286616 -50.5607  120.7340  0.318
GB6J004607+245627    206  17.745          0 0.000000         11.532623         24.942391 -37.9136  121.4071  0.220
GB6J004612+044333    119  21.687          0 0.000000         11.552334          4.724952 -58.1218  120.4649  0.175
GB6J004648+390033    200  20.874          1 0.958000         11.698244         39.013100 -23.8497  121.9455  0.272
GB6J004704+353915     39  18.999          0 0.000000         11.765667         35.656177 -27.2071  121.9327  0.260
GB6J004707+124443     57  21.445          0 0.000000         11.778654         12.747674 -50.1103  121.2882  0.318
GB6J004709+201733     79  16.933          6 0.000000         11.790853         20.291525 -42.5689  121.5711  0.168
GB6J004716+170454     63  21.624          0 0.000000         11.822695         17.084347 -45.7760  121.5112  0.241
GB6J004734+251242     96  22.890          0 0.000000         11.892326         25.214559 -37.6489  121.8270  0.236
GB6J004735+180037     36  19.639          0 0.000000         11.903386         18.000643 -44.8616  121.6492  0.227
GB6J004743+243503    317  19.646          1 0.620000         11.932815         24.587801 -38.2762  121.8587  0.233
GB6J004755+394843     54  17.655          6 0.252000         11.980102         39.816006 -23.0507  122.1980  0.292
GB6J004802+223453     53  18.591          1 1.161000         12.010915         22.590058 -40.2749  121.9052  0.201
GB6J004803+141352     32  22.521          0 0.000000         12.012345         14.231258 -48.6323  121.6896  0.325
GB6J004808+352218     36  19.995          0 0.000000         12.036723         35.369434 -27.4975  122.1757  0.285
GB6J004822+230126     39  20.215          0 0.000000         12.095414         23.044909 -39.8214  122.0167  0.205
GB6J004823+081057     37  22.108          0 0.000000         12.098243          8.180867 -54.6832  121.6287  0.279
GB6J004837+163101     70  19.553          0 0.000000         12.155358         16.523006 -46.3434  121.9543  0.232
GB6J004839+121356     58  20.131          1 2.484910         12.162500         12.230689 -50.6352  121.8582  0.301
GB6J004847+183809     88  18.024          0 0.000000         12.194672         18.640043 -44.2272  122.0530  0.216
GB6J004847+315718    302  15.758          4 0.015000         12.196431         31.956970 -30.9114  122.2764  0.348
GB6J004858+064005    211  19.399          0 0.000000         12.244678          6.668456 -56.1981  121.8345  0.224
GB6J004901+225311    241  18.344          4 0.264150         12.255704         22.887602 -39.9807  122.2062  0.204
GB6J004943+023650    294  18.541          6 0.000000         12.430150          2.617716 -60.2511  122.0679  0.155
GB6J005014+325523     75  18.887          0 0.000000         12.561733         32.923149 -29.9479  122.6436  0.338
GB6J005042+154318     32  19.636          0 0.000000         12.671770         15.721075 -47.1503  122.6664  0.270
GB6J005113+383823     39  21.993          0 0.000000         12.798778         38.644108 -24.2276  122.8801  0.269
GB6J005131+013105     41  19.644          4 0.298250         12.889155          1.519315 -61.3524  122.9941  0.137
GB6J005138+021532     87  22.567          0 0.000000         12.915194          2.261717 -60.6100  123.0457  0.154
GB6J005144+144035     33  20.375          0 0.000000         12.938979         14.675181 -48.1965  123.0475  0.288
GB6J005158+042728     69  19.666          0 0.000000         12.995809          4.461143 -58.4103  123.1916  0.184
