classname         gbflux psfmagr flag_class        z                RA               DEC      bii       lii    a_v
GB6J123313+502728     48  19.633          0 0.000000        188.296823         50.457283  66.4125  130.2029  0.071
GB6J123350+345252     37  20.238          1 2.628590        188.454423         34.885838  81.3752  147.7740  0.074
GB6J123350+502630    175  18.002          4 0.207000        188.455281         50.439659  66.4474  129.9621  0.069
GB6J123355+582413     43  18.787          1 1.515260        188.471117         58.401657  58.5760  127.3420  0.040
GB6J123413+475408    268  16.860          1 0.374000        188.555546         47.897568  68.9605  130.9883  0.060
GB6J123417+505441     48  18.230          2 0.172200        188.567262         50.906872  65.9987  129.5946  0.069
GB6J123417+682658     36  21.541          0 0.000000        188.570309         68.452240  48.5966  125.3123  0.079
GB6J123431+645545     59  19.005          1 3.034475        188.632192         64.932373  52.1001  125.8461  0.098
GB6J123437+391026     60  19.728          6 0.584000        188.662333         39.179672  77.4510  138.0676  0.064
GB6J123444+363730     44  19.803          4 0.308510        188.684678         36.622852  79.8683  142.3300  0.070
GB6J123450+353418     55  20.466          1 0.613070        188.714318         35.566162  80.8523  144.6374  0.061
GB6J123453+674549     99  19.024          1 1.367130        188.724046         67.763695  49.2875  125.3297  0.082
GB6J123455+320350     34  21.404          4 0.889440        188.725047         32.065796  83.8938  157.9869  0.072
GB6J123505+362120    234  18.385          1 1.600000        188.774200         36.355362  80.1435  142.5138  0.062
GB6J123532+522839     80  17.977          1 1.653000        188.877354         52.474377  64.4793  128.5662  0.100
GB6J123600+240035     35  20.947          0 0.000000        188.995671         24.002291  85.3188  253.9716  0.053
GB6J123605+242458     87  19.483          1 2.944010        189.016314         24.411951  85.6010  250.2106  0.056
GB6J123620+135617     31  20.073          1 2.891120        189.084306         13.943745  76.3527  287.2187  0.140
GB6J123621+385959     42  18.424          6 0.389000        189.095922         39.000263  77.7195  136.8079  0.069
GB6J123629+472314     45  19.849          1 1.330630        189.122987         47.392101  69.5253  130.1773  0.073
GB6J123651+392028    246  22.220          0 0.000000        189.214368         39.341026  77.4157  135.9739  0.070
GB6J123707+341059     31  20.678          0 0.000000        189.282274         34.187019  82.3013  145.5915  0.073
GB6J123717+470816     68  18.611          1 2.288360        189.322658         47.135281  69.8008  129.9126  0.076
GB6J123723+505724     71  19.090          4 0.264680        189.349651         50.955322  66.0242  128.3774  0.067
GB6J123729+215856     64  22.089          0 0.000000        189.374571         21.979601  83.9549  270.5730  0.093
GB6J123734+612802     68  17.885          1 1.513540        189.397817         61.469429  55.5801  125.8563  0.056
GB6J123736+192458    459  18.561          1 1.527530        189.401750         19.411285  81.6563  279.8537  0.118
GB6J123756+223445    150  17.771          1 1.419240        189.491472         22.575035  84.5171  268.3404  0.084
GB6J123802+072325    654  20.988          1 1.172000        189.510198          7.389399  70.0070  293.1763  0.086
GB6J123825+275249     40  21.329          0 0.000000        189.609332         27.869003  87.0236  197.7747  0.065
GB6J123836+234305     40  19.020          1 2.415060        189.646926         23.725353  85.5287  261.7799  0.060
GB6J123855+193634     34  18.756          1 3.373697        189.727235         19.613510  81.9552  281.3541  0.117
GB6J123915+405008     66  18.626          1 1.314150        189.812522         40.832054  76.0679  132.5470  0.097
GB6J123924+073015    606  18.016          0 0.400000        189.852462          7.504785  70.1703  294.1132  0.089
GB6J123927+295016    105  21.580          1 1.501310        189.863963         29.840384  86.2205  166.3759  0.073
GB6J123932+044311    319  20.370          1 1.761000        189.886494          4.718115  67.4111  295.1987  0.096
GB6J123955+341517     59  19.371          1 1.168910        189.975629         34.257980  82.4525  141.3875  0.076
GB6J124003+261721     47  20.451          1 2.375030        190.008931         26.289080  87.3191  230.5280  0.058
GB6J124008+242533     59  16.968          1 0.829380        190.038028         24.425348  86.2909  259.0830  0.053
GB6J124017+232345     59  21.929          0 0.000000        190.074063         23.397406  85.4989  268.3021  0.074
GB6J124043+231040     50  18.718          1 0.722710        190.185399         23.179407  85.3689  270.8483  0.079
GB6J124049+051709     76  19.748          0 0.000000        190.204968          5.282934  68.0087  295.8582  0.088
GB6J124049+240456    330  20.419          0 0.000000        190.199933         24.087274  86.1275  264.0884  0.059
GB6J124104+413110     39  19.695          1 0.860210        190.263462         41.511623  75.4597  130.6956  0.098
GB6J124114+252408     49  19.001          1 3.055766        190.310826         25.407463  87.1394  249.3409  0.056
GB6J124114+624800     32  19.502          1 1.300680        190.304318         62.795578  54.2929  124.9330  0.051
GB6J124117+011515     43  22.482          0 0.000000        190.333385          1.243749  64.0023  297.1628  0.084
GB6J124126+233854     81  21.993          0 0.000000        190.358105         23.648386  85.8512  269.3896  0.080
GB6J124135+162046    107  16.938          4 0.070210        190.399790         16.342686  78.9762  290.4954  0.089
GB6J124136+285035     30  17.666          4 0.066320        190.396314         28.843409  87.2302  174.1004  0.067
GB6J124144+384353     62  20.756          0 0.000000        190.429716         38.734516  78.2173  132.2514  0.087
GB6J124148+030452     46  22.295          0 0.000000        190.466065          3.080046  65.8430  297.0838  0.101
GB6J124156+105400     46  17.930          4 0.116920        190.472617         10.902642  73.6197  294.5946  0.095
GB6J124157+164923    107  20.511          0 0.000000        190.487123         16.819874  79.4604  290.4222  0.087
GB6J124208+391925     99  19.320          0 0.000000        190.528979         39.324409  77.6504  131.3889  0.086
GB6J124210+024112     56  19.966          1 3.175296        190.544844          2.680378  65.4519  297.3598  0.098
GB6J124210+371944    372  19.370          1 3.824372        190.540895         37.334911  79.6077  133.2033  0.065
GB6J124245+300235     57  22.197          0 0.000000        190.689998         30.039467  86.5212  155.6171  0.065
GB6J124252+375102    758  18.301          1 1.317000        190.714045         37.850002  79.1276  131.9477  0.075
GB6J124313+362755     91  15.932          6 1.182070        190.803080         36.462219  80.5046  133.0062  0.074
GB6J124319+395124     58  20.926          1 1.216060        190.828815         39.854908  77.1622  129.9635  0.086
GB6J124321+401513     30  22.928          0 0.000000        190.827412         40.251164  76.7697  129.7224  0.081
GB6J124354+404420    135  19.715          1 1.518000        190.982423         40.732899  76.3075  128.9503  0.080
GB6J124357+193337     87  18.093          1 1.604630        190.991092         19.564127  82.2443  289.7741  0.084
GB6J124404+102959     33  23.043          0 0.000000        191.015868         10.503560  73.2848  296.6181  0.083
GB6J124424+095757     55  21.287          4 0.985410        191.111012          9.972348  72.7650  297.1112  0.074
GB6J124427+251112     51  20.975          0 0.000000        191.112685         25.189621  87.5069  263.5811  0.054
GB6J124440+202732     32  22.410          0 0.000000        191.173958         20.472833  83.1686  289.5382  0.110
GB6J124450+332428     54  21.450          0 0.000000        191.213407         33.404632  83.5650  135.2853  0.064
GB6J124503+683108     55  22.254          0 0.000000        191.263046         68.519325  48.5980  123.8157  0.075
GB6J124509+571003    100  17.034          6 1.591470        191.291671         57.165104  59.9425  124.6290  0.037
GB6J124511+565729     64  20.033          1 1.713800        191.298995         56.953541  60.1540  124.6417  0.039
GB6J124515+355841     61  20.706          0 0.000000        191.314230         35.974167  81.0570  131.0013  0.078
GB6J124558+434614     48  17.646          1 1.150000        191.499996         43.774155  73.3180  126.3529  0.093
GB6J124600+223200    135  17.318          1 1.477740        191.490727         22.534836  85.2418  287.5085  0.125
GB6J124603+000748     61  16.911          0 0.000000        191.511812          0.131984  62.9727  299.9654  0.080
GB6J124610+592633     36  21.234          0 0.000000        191.547690         59.441563  57.6740  124.1790  0.051
GB6J124617+322843     69  18.959          1 1.561390        191.576343         32.482388  84.5315  134.3635  0.063
GB6J124619+262649    118  17.054          4 0.088600        191.583338         26.435900  88.6670  243.9347  0.052
GB6J124632+023818     46  18.207          1 0.362250        191.644378          2.635865  65.4800  300.0064  0.102
GB6J124635+115355     40  16.578          4 0.047170        191.640644         11.896644  74.7255  298.4008  0.113
GB6J124708+274118    168  19.302          1 2.435540        191.787643         27.689703  88.8953  182.1403  0.057
GB6J124708+324701     42  18.212          4 0.135130        191.790361         32.784725  84.2683  131.9674  0.062
GB6J124721+435547     97  21.483          1 2.987250        191.837898         43.933090  73.1750  125.4739  0.084
GB6J124732+672322    174  17.627          4 0.107300        191.888866         67.387901  49.7360  123.5092  0.095
GB6J124747+102238    120  17.366          1 1.382000        191.947260         10.375439  73.2252  299.8220  0.091
GB6J124754+212804     83  20.614          6 0.000000        191.974440         21.466143  84.2808  294.6397  0.160
GB6J124756+261421     39  19.729          0 0.000000        191.977816         26.237434  88.8109  261.2510  0.047
GB6J124804+082223     72  21.093          1 2.183410        192.025637          8.375786  71.2309  300.3677  0.094
GB6J124818+582029    356  15.337          6 0.847000        192.078266         58.341313  58.7821  123.7229  0.036
GB6J124832+512802     88  17.765          6 0.351000        192.142940         51.468861  65.6534  124.0144  0.055
GB6J124837+202224    140  18.169          1 0.768020        192.155270         20.373972  83.2151  297.3364  0.089
GB6J124838+152940     38  20.005          0 0.000000        192.151780         15.503558  78.3567  299.5518  0.098
GB6J124841+263357     78  20.894          1 2.862960        192.172265         26.565678  89.1680  255.3195  0.046
GB6J124851+483956    160  20.553          1 1.855780        192.212277         48.664764  68.4576  124.0958  0.051
GB6J124912+152333    114  21.731          0 0.000000        192.305274         15.393622  78.2541  300.3071  0.096
GB6J124912+652849     55  21.266          0 0.000000        192.299523         65.477562  51.6491  123.3064  0.081
GB6J124917+210154     64  19.119          1 0.849740        192.323070         21.029857  83.8820  298.2302  0.145
GB6J124918+281744    119  18.471          1 1.706430        192.326718         28.295448  88.7412  144.8067  0.052
GB6J124935+154248     48  20.686          0 0.000000        192.394910         15.719048  78.5827  300.6730  0.095
GB6J124935+492428     31  18.861          1 0.966560        192.397985         49.407177  67.7182  123.7236  0.058
GB6J124959+250918     32  18.729          1 1.536070        192.518063         25.161867  88.0099  294.0016  0.043
GB6J125003+114732     72  21.190          4 0.612850        192.513657         11.785030  74.6533  301.6533  0.134
GB6J125009+162135    234  17.698          1 0.850040        192.538448         16.355963  79.2236  301.2850  0.091
GB6J125026+001323     82  16.831          4 0.046770        192.614265          0.229315  63.1000  302.3902  0.077
GB6J125027+134350    280  17.994          1 1.200670        192.617569         13.727884  76.5977  301.9187  0.128
GB6J125040+520444     44  21.909          1 2.376210        192.671571         52.075340  65.0525  123.2055  0.054
GB6J125043+593519     48  22.514          0 0.000000        192.676435         59.590717  57.5373  123.1044  0.051
GB6J125102+282329    127  20.337          0 0.000000        192.763281         28.393724  88.7317  126.7518  0.051
GB6J125102+384502    101  19.045          1 1.505500        192.761121         38.752037  78.3759  123.3120  0.093
GB6J125114+060325     99  18.439          1 1.337960        192.802906          6.058014  68.9297  302.7759  0.110
GB6J125146+431733     55  18.802          1 1.440060        192.943067         43.291588  73.8365  122.7129  0.072
GB6J125150+275137    105  21.322          0 0.000000        192.960448         27.854582  89.2682  115.9145  0.047
GB6J125158+305453     32  22.010          0 0.000000        192.974725         30.905911  86.2210  121.4298  0.068
GB6J125203+134429     52  20.045          0 0.000000        193.017111         13.747308  76.6182  303.5942  0.143
GB6J125219+132211     32  21.371          4 0.840060        193.072901         13.367918  76.2382  303.8055  0.143
GB6J125220+395108     67  19.311          4 0.225300        193.087005         39.850224  77.2766  122.1383  0.078
GB6J125226+191015     35  19.034          1 0.921940        193.116002         19.177273  82.0455  304.6840  0.079
GB6J125227+193741     36  19.326          1 0.937580        193.115230         19.624716  82.4928  304.7772  0.079
GB6J125229+142508     41  18.683          1 0.954450        193.120608         14.416117  77.2855  304.0818  0.119
GB6J125236+160708     80  20.040          0 0.000000        193.152137         16.118610  78.9870  304.4045  0.091
GB6J125239+331112    167  19.647          1 0.489140        193.167873         33.182816  83.9396  120.4853  0.060
GB6J125241+024619     71  20.600          1 1.537800        193.174395          2.771222  65.6411  303.6949  0.101
GB6J125248+112934     54  17.118          1 0.874170        193.207798         11.492556  74.3609  304.1987  0.108
GB6J125251+174022     34  20.156          1 1.188670        193.208599         17.666880  80.5331  304.9556  0.102
GB6J125259+550113     31  18.978          1 2.897130        193.268051         55.018989  62.1077  122.4310  0.077
GB6J125305+290511     40  17.943          1 2.575260        193.276720         29.087191  88.0068  112.3860  0.052
GB6J125311+530113    363  17.550          6 1.380280        193.299680         53.019928  64.1063  122.3254  0.066
GB6J125314+035802     58  19.535          0 0.000000        193.303513          3.963239  66.8311  304.0582  0.116
GB6J125314+273941    116  20.555          0 0.000000        193.310337         27.661570  89.3331   86.1363  0.045
GB6J125330+572728     35  20.256          1 2.502590        193.358545         57.460693  59.6655  122.4003  0.039
GB6J125339+410736    114  20.542          0 0.000000        193.412919         41.123463  75.9974  121.2083  0.060
GB6J125345+032638     69  16.088          4 0.066000        193.445864          3.441782  66.3069  304.3891  0.110
GB6J125348+055955     41  21.483          0 0.000000        193.453002          5.991573  68.8558  304.5689  0.116
GB6J125351+053524     86  20.769          0 0.000000        193.469739          5.576987  68.4409  304.5854  0.115
GB6J125359+002317     67  20.112          0 0.000000        193.485489          0.393005  63.2580  304.3236  0.073
GB6J125418+152823    106  19.404          1 0.202340        193.576784         15.473116  78.3258  306.3510  0.091
GB6J125421+054555     63  20.209          1 2.251640        193.592477          5.772146  68.6325  304.9342  0.117
GB6J125421+060814     40  21.673          0 0.000000        193.586798          6.133511  68.9938  304.9500  0.119
GB6J125428+453607    151  18.657          1 1.646620        193.620114         45.601200  71.5171  121.2527  0.088
GB6J125431+262027     39  17.302          4 0.069100        193.630972         26.344606  88.9565  344.4343  0.036
GB6J125433+185557    127  18.042          4 0.115440        193.638625         18.933870  81.7744  308.0909  0.096
GB6J125434+613507     43  20.690          4 0.502210        193.633418         61.582123  55.5422  122.2808  0.060
GB6J125438+114104    724  16.747          1 0.872000        193.659396         11.684971  74.5384  305.8721  0.108
GB6J125441+295123     67  20.415          1 2.421670        193.673172         29.857868  87.1783  108.4411  0.056
GB6J125445+023346    170  20.672          0 0.000000        193.689437          2.558042  65.4169  304.9256  0.097
GB6J125458+085959    395  23.093          0 0.000000        193.745656          8.996541  71.8489  305.7431  0.082
GB6J125459+253159     32  18.713          4 0.191850        193.750176         25.542194  88.2244  329.8501  0.040
GB6J125500+034034     77  17.965          1 0.437000        193.752065          3.678642  66.5349  305.1698  0.111
GB6J125504+533158     59  20.584          1 0.512610        193.788915         53.533157  63.5861  121.6899  0.084
GB6J125506+622055     47  17.862          1 1.984040        193.783708         62.347340  54.7756  122.1881  0.065
GB6J125508+183256     40  21.275          0 0.000000        193.789687         18.553757  81.3829  308.8286  0.108
GB6J125514+135055    117  20.785          0 0.000000        193.809772         13.849095  76.6912  306.9438  0.146
GB6J125529+630500     33  22.759          0 0.000000        193.870554         63.089432  54.0327  122.1527  0.073
GB6J125532+181746    495  19.753          1 1.366000        193.882327         18.297478  81.1191  309.2357  0.116
GB6J125543+612501     97  19.808          1 2.055000        193.937559         61.414131  55.7064  122.0163  0.062
GB6J125552+530332     65  19.643          4 0.297790        193.969145         53.063805  64.0513  121.4077  0.067
GB6J125558+553837     43  20.120          4 0.359820        193.997440         55.646969  61.4694  121.5873  0.073
GB6J125614+565220    415  13.379          1 0.042170        194.059310         56.873676  60.2423  121.6107  0.048
GB6J125635+124738    107  19.247          0 0.000000        194.145227         12.792855  75.6141  307.9851  0.130
GB6J125717+245451     74  17.926          1 1.495880        194.326258         24.911837  87.4213  333.9991  0.049
GB6J125741+183714     45  20.216          1 1.348860        194.417467         18.622664  81.3745  312.8250  0.124
GB6J125752+475022     97  19.650          1 0.528110        194.469752         47.839054  69.2510  119.8798  0.061
GB6J125757+322936    488  18.798          1 0.805000        194.488463         32.491478  84.4539  108.5658  0.066
GB6J125802+282025     64  19.308          1 1.072360        194.508047         28.333992  88.1070   72.8776  0.043
GB6J125804+185159     61  19.924          0 0.000000        194.514027         18.862524  81.5955  313.7070  0.118
GB6J125821+212351     33  20.220          0 0.000000        194.589372         21.397577  84.0565  318.6833  0.160
GB6J125825+483111     33  20.605          1 0.480800        194.599872         48.515526  68.5700  119.7751  0.062
GB6J125832+290908     34  18.919          1 3.457699        194.633961         29.150856  87.4428   85.6182  0.046
GB6J125834+653028     33  22.159          0 0.000000        194.643674         65.523163  51.5886  121.7421  0.086
GB6J125835+003827     84  19.253          1 0.724680        194.645462          0.642254  63.4585  306.9315  0.070
GB6J125850+250811     53  20.592          0 0.000000        194.710035         25.128311  87.4000  343.0637  0.050
GB6J125910+413009     31  18.819          4 0.278290        194.786010         41.493816  75.5477  117.1408  0.071
GB6J125913+205732     35  19.037          1 1.254160        194.799428         20.960554  83.5833  319.3639  0.173
GB6J125915+101633     56  19.937          1 3.004768        194.815478         10.277568  73.0487  309.5469  0.080
GB6J125918+130329     42  19.559          0 0.000000        194.825864         13.057830  75.8097  310.7694  0.125
GB6J125930+514106    313  20.002          1 1.620070        194.879894         51.682293  65.3987  119.9219  0.050
GB6J125934+233031     51  18.713          0 0.000000        194.901123         23.513090  85.9412  330.4205  0.083
GB6J125937+081702    112  23.218          0 0.000000        194.906759          8.287127  71.0594  309.1849  0.106
GB6J125957+233645     31  19.579          1 3.125561        194.992089         23.612902  85.9913  332.1264  0.080
GB6J130001+120607    178  20.834          0 0.000000        195.008083         12.106146  74.8432  310.9921  0.121
GB6J130006+272923     35  19.523          0 0.000000        195.028833         27.493722  88.0380   44.1638  0.041
GB6J130019+435241     86  19.644          0 0.000000        195.084014         43.873440  73.1589  117.3893  0.069
GB6J130021+141658    320  18.705          1 1.106000        195.087161         14.288479  76.9932  312.5672  0.106
GB6J130027+282959    192  17.042          1 0.649000        195.118861         28.502834  87.5745   67.9760  0.045
GB6J130037+082808    180  17.528          1 1.083860        195.151835          8.467459  71.2135  309.9889  0.103
GB6J130040+502947    442  21.538          1 1.561000        195.171876         50.493546  66.5682  119.2308  0.065
GB6J130041+141651     97  22.499          1 0.835940        195.170989         14.291506  76.9835  312.9257  0.106
GB6J130120+282132     68  18.793          1 1.370560        195.333853         28.360346  87.4873   62.8654  0.045
GB6J130123+284252     35  20.502          1 0.419530        195.347228         28.714884  87.2891   69.3300  0.047
GB6J130132+463357    155  18.756          1 0.205000        195.385852         46.567482  70.4586  117.7335  0.052
GB6J130138+370246     45  20.940          0 0.000000        195.406709         37.053062  79.8445  111.3263  0.069
GB6J130146+441612     47  18.636          6 0.000000        195.442987         44.272007  72.7308  116.6899  0.069
GB6J130147+405607     33  18.095          6 0.652170        195.440211         40.940178  76.0254  114.8347  0.075
GB6J130157+674147     30  23.450          0 0.000000        195.519576         67.694962  49.4012  121.3808  0.091
GB6J130159+122013     37  19.624          4 0.000000        195.506373         12.342944  75.0078  312.9758  0.120
GB6J130215+203911    145  19.955          0 0.000000        195.561032         20.655159  83.0724  324.3811  0.137
GB6J130217+481926    218  17.963          1 0.874000        195.571661         48.321548  68.7019  117.9621  0.057
GB6J130222+270911     68  19.357          1 3.426065        195.586353         27.161558  87.5732   34.3402  0.040
GB6J130252+232245     60  19.113          1 3.187789        195.724196         23.388653  85.4510  338.2701  0.080
GB6J130252+574835    601  19.522          1 1.088000        195.718589         57.810451  59.2516  119.9526  0.055
GB6J130258+602550     30  20.149          0 0.000000        195.742235         60.429436  56.6408  120.3449  0.076
GB6J130303+243331     95  19.423          6 0.000000        195.763393         24.565468  86.3399  349.1355  0.061
GB6J130311+320700     32  20.451          0 0.000000        195.799484         32.127579  84.3860   96.5701  0.054
GB6J130313+245435     37  19.283          1 3.325603        195.800629         24.901707  86.5442  353.4762  0.055
GB6J130328+185325     50  19.536          0 0.000000        195.872583         18.889416  81.3080  322.1467  0.116
GB6J130334+410439     36  19.347          1 0.274530        195.890880         41.083195  75.8237  113.5643  0.077
GB6J130336+474828     50  19.694          4 0.896130        195.901494         47.811333  69.1807  117.1767  0.052
GB6J130341+202208     76  19.649          0 0.000000        195.902209         20.384121  82.7044  326.0010  0.115
GB6J130443+013232     52  20.137          1 2.286720        196.183405          1.541858  64.2157  310.5895  0.085
GB6J130443+130411     33  19.229          1 2.581210        196.200242         13.071272  75.5996  316.1264  0.106
GB6J130446+635345    105  20.239          1 2.082150        196.197367         63.896496  53.1682  120.4825  0.069
GB6J130456+401303     33  22.157          0 0.000000        196.230941         40.217571  76.6163  111.7448  0.074
GB6J130503+275227     49  19.767          1 0.873830        196.260424         27.872746  86.8928   47.5761  0.046
GB6J130508+521426     33  22.992          0 0.000000        196.283627         52.239952  64.7573  118.0118  0.060
GB6J130510+385820     32  20.800          4 0.485940        196.287389         38.975208  77.8123  110.2116  0.064
GB6J130510+525314     66  20.672          0 0.000000        196.286803         52.888229  64.1137  118.1925  0.068
GB6J130524+052528     42  20.153          1 0.665290        196.362577          5.413730  68.0305  312.2900  0.108
GB6J130526+074259     58  18.989          1 1.023120        196.358357          7.716222  70.3065  313.2708  0.119
GB6J130543+250355     53  22.322          0 0.000000        196.435146         25.068155  86.1851    1.0476  0.056
GB6J130553+014907    106  17.539          1 0.733260        196.475701          1.824965  64.4603  311.3403  0.094
GB6J130554+305013     37  20.551          0 0.000000        196.478663         30.836855  85.1245   83.3074  0.051
GB6J130603+552947    249  18.240          1 1.601000        196.513953         55.495514  61.5093  118.5907  0.078
GB6J130605+514449     51  19.650          4 0.277310        196.550675         51.735271  65.2361  117.4700  0.055
GB6J130619+111346    261  17.099          4 0.085710        196.580186         11.227722  73.7191  316.0554  0.097
GB6J130628+195856     83  18.855          4 0.168300        196.618280         19.978533  82.0648  329.4389  0.110
GB6J130631+050220     51  20.460          0 0.000000        196.631742          5.041601  67.6225  312.8448  0.106
GB6J130631+474149     56  18.277          1 2.523000        196.624789         47.692345  69.2260  115.7724  0.045
GB6J130634+094436     84  21.562          0 0.000000        196.650453          9.743430  72.2508  315.2748  0.092
GB6J130644+511654     39  20.917          1 1.491150        196.691108         51.281860  65.6727  117.1082  0.057
GB6J130647+085147     46  20.188          0 0.000000        196.702967          8.860137  71.3737  314.9004  0.107
GB6J130704+485920     41  20.605          1 1.209440        196.761503         48.987297  67.9335  116.1049  0.050
GB6J130714+135506    101  19.024          1 1.430980        196.807909         13.922357  76.2893  319.3112  0.102
GB6J130744+373642     38  22.731          0 0.000000        196.927929         37.615017  78.9679  105.8523  0.061
GB6J130800+591544     78  21.130          4 0.647530        197.006779         59.258892  57.7412  118.9602  0.063
GB6J130807+495741    199  19.500          1 1.246280        197.033014         49.964847  66.9403  116.0673  0.055
GB6J130820+030038     48  18.873          1 1.080780        197.075315          3.012360  65.5490  313.1484  0.108
GB6J130823+354649    461  20.006          1 1.055000        197.098789         35.776989  80.6284  101.3201  0.051
GB6J130836+434405     47  16.350          4 0.034600        197.157941         43.737538  73.0319  112.2377  0.084
GB6J130850+473000     47  18.883          1 0.884000        197.213888         47.498585  69.3459  114.5696  0.045
GB6J130854+315031     57  21.597          0 0.000000        197.227206         31.839430  83.9474   85.0809  0.053
GB6J130855+553051     94  22.290          0 0.000000        197.227163         55.513233  61.4391  117.7570  0.078
GB6J130909+555731    423  17.718          1 1.629000        197.290635         55.960609  60.9912  117.8153  0.074
GB6J130912+091132     44  18.922          1 2.965180        197.295971          9.194783  71.5830  316.9192  0.105
GB6J130924+430502     45  16.976          6 0.000800        197.356353         43.084888  73.6315  111.2079  0.084
GB6J130933+115428   1350  18.381          6 0.000000        197.391386         11.906823  74.1953  319.4236  0.103
GB6J130939+472406     31  21.066          1 1.179150        197.415161         47.405357  69.4105  114.1387  0.045
GB6J130942+404825    131  19.105          1 2.906660        197.422943         40.799225  75.8205  108.6979  0.079
GB6J131003+292605     41  20.887          0 0.000000        197.524095         29.438450  85.2878   63.3753  0.051
GB6J131026+004421    201  19.289          1 1.601000        197.618766          0.735797  63.2147  313.5407  0.108
GB6J131029+322051   1447  17.622          1 0.997000        197.619424         32.345497  83.3459   85.7013  0.060
GB6J131038+244815     67  19.959          0 0.000000        197.660480         24.806149  85.0992    5.7206  0.061
GB6J131041+020126     90  19.050          1 1.829920        197.669764          2.024155  64.4761  314.1473  0.114
GB6J131053+053257     48  24.265          0 0.000000        197.719946          5.557090  67.9377  315.9067  0.109
GB6J131058+323339    870  18.811          1 1.639000        197.747512         32.559566  83.1119   86.1456  0.059
GB6J131100+311334     50  21.424          0 0.000000        197.749100         31.222384  84.0863   77.9011  0.052
GB6J131103+291058     47  19.159          1 1.772840        197.762804         29.185291  85.2130   59.5205  0.050
GB6J131103+551403    487  19.173          1 0.925000        197.763362         55.231758  61.6714  117.0353  0.085
GB6J131107+141736    401  19.666          1 1.947000        197.782588         14.296293  76.3715  323.5996  0.100
GB6J131109+223806     50  21.407          1 0.497180        197.781300         22.635279  83.6672  348.8153  0.060
GB6J131109+343920     76  21.528          4 0.790720        197.793889         34.654491  81.3675   94.8055  0.051
GB6J131115+513204     31  22.937          0 0.000000        197.806220         51.527424  65.3163  115.5510  0.061
GB6J131120+334635     37  21.952          0 0.000000        197.844858         33.781536  82.0822   91.3066  0.049
GB6J131156+103248     33  20.645          1 1.654260        197.988010         10.550367  72.7326  320.1533  0.083
GB6J131214+253106    187  23.545          0 0.000000        198.059549         25.520338  85.0701   15.0651  0.060
GB6J131215+445023    106  15.984          4 0.034600        198.070836         44.839245  71.8041  111.0287  0.069
GB6J131218+351522     36  15.603          1 0.184000        198.073969         35.255856  80.7327   95.4895  0.051
GB6J131220+090020     47  22.304          0 0.000000        198.081808          9.003599  71.2149  319.1432  0.108
GB6J131243+482833    224  21.371          1 0.501000        198.180628         48.475258  68.2563  113.3788  0.046
GB6J131249+311254     93  17.917          1 1.053850        198.203344         31.216828  83.7978   75.4349  0.051
GB6J131252+192626    103  20.348          0 0.000000        198.214216         19.438585  80.8750  336.6372  0.097
GB6J131254+151539     70  18.593          1 1.419240        198.228879         15.257982  77.1223  326.8281  0.094
GB6J131330+020049     45  18.646          6 0.356000        198.375535          2.018291  64.3395  315.7494  0.112
GB6J131341+102716    162  18.815          1 2.912000        198.423543         10.453990  72.5211  321.4415  0.083
GB6J131343+255114     74  23.242          0 0.000000        198.423243         25.850840  84.8595   19.7974  0.058
GB6J131358+244547     51  23.243          0 0.000000        198.489504         24.759983  84.4116    9.1144  0.055
GB6J131402+084202    158  21.943          0 0.000000        198.513293          8.702516  70.8136  320.1691  0.105
GB6J131405+543949     43  19.452          4 0.346450        198.519201         54.660522  62.1583  115.9160  0.103
GB6J131406+072339     46  18.696          1 0.658830        198.534365          7.399491  69.5497  319.2318  0.127
GB6J131413+591529     60  22.023          0 0.000000        198.556609         59.256500  57.6304  117.4928  0.055
GB6J131429+544219     62  20.096          1 1.570830        198.614903         54.696808  62.1122  115.8145  0.103
GB6J131432+470643     39  19.998          1 1.455850        198.644314         47.117920  69.4996  111.6373  0.049
GB6J131444+234828    132  16.814          6 2.059260        198.682508         23.807417  83.7831    1.9322  0.050
GB6J131453+173123     31  20.919          4 0.522770        198.711734         17.521174  78.9774  333.5003  0.083
GB6J131454+474308     68  20.981          1 3.695850        198.724537         47.716671  68.9068  111.9185  0.047
GB6J131459+145726     38  21.474          4 0.567870        198.739171         14.961613  76.6593  328.3310  0.096
GB6J131502+122052    264  19.221          1 0.259340        198.757725         12.347957  74.2190  324.5935  0.104
GB6J131511+315658     88  22.070          0 0.000000        198.794031         31.954884  82.9347   77.4337  0.048
GB6J131513+284059     95  19.872          1 1.576000        198.806219         28.681578  84.5206   50.7762  0.051
GB6J131523+611028     32  22.182          0 0.000000        198.837490         61.180904  55.7093  117.8194  0.084
GB6J131526+614130     63  18.301          1 1.571790        198.858332         61.692520  55.2030  117.9498  0.092
GB6J131529+281103     34  19.156          1 0.655880        198.878045         28.188816  84.5652   45.5714  0.055
GB6J131537+600903     36  20.347          0 0.000000        198.895469         60.147381  56.7235  117.4577  0.062
GB6J131548+565726     47  21.704          1 2.586470        198.952403         56.951412  59.8625  116.3114  0.065
GB6J131556+173628    100  20.020          1 1.950000        198.984775         17.612381  78.9310  334.9195  0.083
GB6J131622+050518    128  20.590          1 0.617220        199.095655          5.081296  67.1656  319.1220  0.118
GB6J131627+672624    174  20.209          0 0.000000        199.113335         67.440071  49.5085  119.2416  0.068
